"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SCGN",-1.71961859292845,6.55937582280752,-9.76986202292878,1.2095505076193e-08,1.0430047069548e-06,10.1437076223877
"LDHD",-1.98946619684593,6.03917420515875,-9.72103970121782,1.3062136412314e-08,1.09531670647982e-06,10.0675532529488
"ACADVL",-1.4297602670245,11.370490259781,-9.6738203093093,1.40740632262869e-08,1.14413539181941e-06,9.99361981950581
"SLC4A4",-1.86200497555908,6.2662141273047,-9.65521432874815,1.4495006682236e-08,1.16338874616722e-06,9.96441194148546
"SST",-2.23072851794795,5.7032446675893,-9.65099201926834,1.45923520141134e-08,1.16405432789738e-06,9.95777774334976
"UGDH",-1.64170060608318,10.5977180799267,-9.6448676969809,1.47347643935888e-08,1.17102890604122e-06,9.94815112779086
"MEIS3P1",-1.86227831856917,6.21223193097411,-9.6328269786432,1.50190064264292e-08,1.18477710324635e-06,9.9292111641298
"SPON1",-2.02799309896728,7.18788019450844,-9.62616561668678,1.51787164037334e-08,1.18662303025301e-06,9.91872515764032
"CHCHD10",-1.71197651755749,10.1671513517905,-9.61753729612651,1.5388228438983e-08,1.19183228189781e-06,9.90513466233917
"KLF4",-2.53168296459384,9.85907470566191,-9.5565039770667,1.69592845557683e-08,1.26477243661189e-06,9.80873623696089
"ZSWIM6",-1.07323777818084,8.53721725512427,-9.54754758590633,1.7203570695694e-08,1.27228768141523e-06,9.79455105446496
"FAM46A",-1.3142754300202,7.85960831327359,-9.51379485953979,1.81577252413261e-08,1.32445681477742e-06,9.74100310460379
"GUCA2B",-3.37297833624094,7.55623317253248,-9.48933261093764,1.88837086330649e-08,1.35879766951233e-06,9.7021050245339
"GUCA2A",-3.7197387359718,9.39058050654866,-9.45789353878512,1.9861553091227e-08,1.41956784996659e-06,9.65200246775712
"SCIN",-1.98175167378551,6.83569855056172,-9.3508602106773,2.36066115766714e-08,1.61961624135333e-06,9.48049432785931
"GNA11",-1.43822505792268,9.68356493807343,-9.33275398779474,2.43098320775336e-08,1.65423358919932e-06,9.45133762660548
"GBA2",-1.1010534863148,8.55053405756003,-9.27864263758046,2.65448743431682e-08,1.75040024345244e-06,9.36395243735089
"VPS4B",-1.03724326794204,10.8445110631158,-9.25709666255301,2.74936450823674e-08,1.77990014166974e-06,9.32905343444256
"CPNE8",-1.31128563028737,5.84037023194128,-9.23805671116913,2.83615452883262e-08,1.80985029720863e-06,9.2981640795027
