"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CAMK2D",-1.19419524206163,6.82648947704947,-13.2404984061038,3.58687017453483e-09,4.68691704585383e-07,11.5334521536433
"NR1H4",-1.83956046873319,4.37867723503301,-13.2161696339075,3.67175585207198e-09,4.76858096910251e-07,11.5099400173282
"MEP1B",-3.15751508773632,5.43543838256962,-13.2049060288459,3.7117800638385e-09,4.79134567149675e-07,11.4990403578375
"PDK4",-1.32688480246994,5.12979596753002,-13.1806833923453,3.79944020436777e-09,4.87495644053187e-07,11.4755700176569
"FUCA1",-1.14828313354815,6.75415463675072,-13.0964442401923,4.12192582516135e-09,5.25284716349124e-07,11.3936228002744
"TPRG1L",-1.04555942453103,8.4029734605684,-13.0911155394844,4.14328524093398e-09,5.25284716349124e-07,11.3884220660538
"PLAC8",-4.30348091589954,10.2578512316487,-13.0796627835166,4.18959321292605e-09,5.28012697290604e-07,11.3772374660544
"HMGN2P46",-1.88556138015541,5.9761004379384,-13.0713394643107,4.22359431667455e-09,5.29166678534418e-07,11.3691031345268
"SULT1B1",-2.72568192528115,7.91777598151769,-13.0249348666609,4.41863986983598e-09,5.47166340625794e-07,11.3236610074648
"NR3C2",-3.19237058113019,7.81663893427148,-12.9518573142152,4.74555367109842e-09,5.77967037090029e-07,11.2517841484435
"HSD17B11",-1.81415564337734,10.0226447441802,-12.9511635208906,4.74877841639303e-09,5.77967037090029e-07,11.2510998996633
"RNASEL",-1.38660286489893,6.03792931678318,-12.9343984522985,4.82741801388637e-09,5.84179572905545e-07,11.2345548259006
"PADI2",-1.73781788423371,6.0477357009367,-12.9286549297739,4.85467789118181e-09,5.84179572905545e-07,11.2288819662798
"PDE6A",-1.96051775530993,5.74076414161569,-12.9117003339031,4.93611083222431e-09,5.89654433243502e-07,11.2121219377258
"FRK",-1.09202964779563,6.01823915245328,-12.9076983069831,4.95554455845753e-09,5.89654433243502e-07,11.2081627773939
"TTC22",-1.24272418537791,5.3638377424708,-12.8807620233333,5.0884906146726e-09,6.02109786677287e-07,11.181484555698
"HADHB",-1.19895793664581,9.9807753095679,-12.8159563245116,5.42419961578914e-09,6.33003481125473e-07,11.117081644753
"VPS4B",-1.47443707232937,8.70003707479142,-12.7403097946445,5.8462363144596e-09,6.65876937228208e-07,11.0415131013741
"HAGLR",-1.32397651804807,4.63084872275841,-12.6531625387399,6.37631574559767e-09,7.12954785647693e-07,10.953927507742
"SLC41A2",-2.02163820991245,5.81910464124614,-12.6504741316345,6.3934627944368e-09,7.12954785647693e-07,10.9512165305341
"IL6R",-1.98075645535135,5.28879022646181,-12.6326583918048,6.50834552151915e-09,7.21985683660606e-07,10.9332374806975
"HNF4G",-1.4780780751149,6.84911023135102,-12.5968202221311,6.74617305542717e-09,7.40653298492491e-07,10.8969983131679
"BEST4",-2.72324228658573,4.73464736068609,-12.5387362646264,7.15154748986561e-09,7.77146989727794e-07,10.8380579319494
"CHMP2B",-1.05948249380203,8.49272765047491,-12.4985168698053,7.44743515121022e-09,8.01460083308556e-07,10.7970950875988
"STX19",-2.21779016247954,6.37029867672243,-12.4981036501972,7.45054211442293e-09,8.01460083308556e-07,10.796673588456
"B3GALT5",-2.39512681599129,5.79330111922106,-12.4842104853808,7.55581307554562e-09,8.08699812542946e-07,10.7824944446491
"CDA",-2.31260044906927,6.28402114920915,-12.4777346829692,7.60542282445732e-09,8.09939503690582e-07,10.7758802913499
"STX12",-1.16203147905736,8.17972041106935,-12.421678849753,8.04967151195432e-09,8.31843690819877e-07,10.7184922226916
"PLCD1",-1.41507739620181,7.94068072366942,-12.4050562248851,8.18667161815169e-09,8.383073018991e-07,10.7014279956751
"CLRN3",-1.56692290884991,10.2183053440078,-12.3815496438643,8.38467190725886e-09,8.54474291639743e-07,10.6772604550115
"GPA33",-2.01920118023303,10.4892574168405,-12.3520191391113,8.64068504713343e-09,8.72217776392867e-07,10.6468388855443
"GRAMD3",-1.45020818007728,6.0343954017063,-12.3266899415085,8.86692474440307e-09,8.90833160995476e-07,10.6206913593111
"AMN",-1.04664089960381,6.3247324146744,-12.286807620616,9.23606197094398e-09,9.23562835301107e-07,10.5794190282431
"SLC22A18AS",-1.46043258367438,7.16189026576588,-12.2782625780285,9.31726528826463e-09,9.26697864046333e-07,10.57055997127
"ACADM",-1.7023168199365,9.07546431430296,-12.2436188640959,9.65437415478913e-09,9.51983866309508e-07,10.5345844205307
"WDR78",-1.50675626398052,4.16996567880042,-12.2115911863394,9.97762211952174e-09,9.79324301952505e-07,10.5012413971998
"P2RY1",-2.5732792229331,5.22626340082811,-12.2006373397324,1.00908113848774e-08,9.8589078755277e-07,10.489819093284
"GPD1L",-1.50899467234256,9.2699020939754,-12.1631212049178,1.04889759791266e-08,1.01547590627007e-06,10.4506264913973
"LINC01133",-1.30855446011226,5.2908446840238,-12.1448660681209,1.06887541838644e-08,1.02549448361319e-06,10.4315151605121
"AQP7",-1.18606266870486,5.90170732934187,-12.1135977862249,1.10404378055854e-08,1.0530536066154e-06,10.3987186426653
"VSIG2",-2.46524195574527,7.02852508451126,-12.0560159933455,1.17207919889907e-08,1.09974074261459e-06,10.3381178340543
"MYO1A",-1.72619630012377,7.87658191673685,-12.0203814729868,1.21641333172448e-08,1.13137063547597e-06,10.3004814487169
"EIF4E3",-1.92021156010234,6.03629050792386,-11.9026520903366,1.3760648383727e-08,1.25251303386752e-06,10.1754064922938
"CPT2",-1.53956596446323,7.35097883064135,-11.8455593291747,1.46140789886259e-08,1.31892062872349e-06,10.1143436648898
"GPAT3",-2.99463209083061,6.24821892787506,-11.7941197366169,1.54314467199379e-08,1.37520662630945e-06,10.0590969929418
"EZR",-1.11134285088138,8.13555705870751,-11.7142916830028,1.67979497879778e-08,1.44850013171716e-06,9.97292573296766
"SLC51A",-4.31391302321762,6.4740370147583,-11.7057714877933,1.69512464908256e-08,1.45582499600038e-06,9.96369709275336
"OSBPL1A",-1.46903704890605,6.05521678257128,-11.6639353620306,1.77259274529083e-08,1.50416146940037e-06,9.91829395098721
"TMCC3",-2.80247772933745,7.23802624443349,-11.5882485454212,1.92250086102531e-08,1.59950569683508e-06,9.83577893816967
"SMIM14",-1.74704675812096,6.69093450976743,-11.5702119786171,1.96018362510163e-08,1.62451171327002e-06,9.81604353082197
"UGT1A8",-1.60946851056694,4.96110110389273,-11.5422646494868,2.02013655131474e-08,1.66770885296328e-06,9.78540915508906
"ACADS",-1.69877001655796,7.15941722904172,-11.5145027248778,2.081631544376e-08,1.70148173993837e-06,9.75491196273797
"SLITRK6",-2.83858743380749,5.07192661297854,-11.5081606198451,2.09595804861288e-08,1.70388589608418e-06,9.74793573733489
"EDN3",-2.27217849937877,6.08006245855746,-11.4571391787183,2.21511101602203e-08,1.74094647713111e-06,9.69168717359984
"CA2",-5.31621551205498,10.0401990965249,-11.4430042406126,2.2493840828209e-08,1.75493155970705e-06,9.67606445195002
"MS4A8",-2.00117241893666,5.9356254229511,-11.4361337762118,2.26624674872413e-08,1.75522870913001e-06,9.66846459864683
"C5orf30",-1.56095602009334,7.92619877538103,-11.3653880458138,2.44793699726122e-08,1.86209321802381e-06,9.58997028822261
"NAAA",-1.67910543457052,6.70090202962843,-11.3577053152158,2.4685832352309e-08,1.87111581235526e-06,9.58141988628554
"LOC101929340",-2.00547794063661,4.2641745567957,-11.3310498452484,2.54166766551072e-08,1.90023034851897e-06,9.55171403619273
"C4orf19",-2.01831042147326,7.20911872108052,-11.3306859894511,2.54268110863377e-08,1.90023034851897e-06,9.55130811184991
"CHP2",-3.66465921747337,8.70192939091504,-11.2768462718425,2.69749541017733e-08,1.98117085315058e-06,9.49111550839309
