,logFC,logCPM,insert,PValue,FDR
GPR146,-1.268371448,-0.284418842,NA,2.98E-25,2.93E-24
MAP4K1,-1.39718884,2.352126387,NA,2.98E-25,2.93E-24
TMEM45B,-1.072801652,7.337258025,NA,3.07E-25,3.01E-24
DSEL,-1.534571092,0.830073065,NA,3.08E-25,3.02E-24
AC009159.3,-1.557222216,-2.655901595,NA,3.12E-25,3.05E-24
CYP4F25P,-2.330161745,-3.644720272,NA,3.21E-25,3.14E-24
KCNG3,-2.115141905,-1.474005997,NA,3.30E-25,3.22E-24
CHRNB4,-1.700609919,-1.102641804,NA,3.34E-25,3.27E-24
GPRIN2,-1.393889142,3.229697943,NA,3.46E-25,3.38E-24
RPL10L,-2.007152973,-1.302420267,NA,3.66E-25,3.57E-24
IGKV1-27,-2.338216298,3.28987539,NA,3.98E-25,3.88E-24
ADRB3,-2.513814478,-2.555462641,NA,4.12E-25,4.01E-24
FBLN5,-1.354409243,4.059616629,NA,4.40E-25,4.27E-24
IGKV1OR1-1,-2.576134581,-3.433586109,NA,4.49E-25,4.35E-24
CMAHP,-1.601164085,2.418943774,NA,4.62E-25,4.48E-24
ACTA2,-1.528770133,7.765560336,NA,4.76E-25,4.61E-24
USP51,-1.361183764,-0.061927367,NA,5.25E-25,5.08E-24
AC133065.2,-2.497991702,-3.320397959,NA,5.27E-25,5.09E-24
DNAJB4,-1.1142101,3.410562684,NA,5.27E-25,5.09E-24
KCNK10,-1.794794826,0.950227811,NA,5.30E-25,5.12E-24
CNGA1,-1.567048518,1.858129423,NA,5.57E-25,5.37E-24
HMGCS2,-2.220062625,7.991719671,NA,5.58E-25,5.37E-24
TMEM273,-1.305328848,2.411295063,NA,5.84E-25,5.61E-24
TMEM25,-1.467862809,2.234316692,NA,6.22E-25,5.98E-24
SCN4A,-2.018800542,-1.418376592,NA,6.42E-25,6.16E-24
KITLG,-1.230206505,4.827729366,NA,6.63E-25,6.36E-24
ZCWPW2,-1.161218403,-0.96148739,NA,6.66E-25,6.38E-24
CXorf21,-1.464798131,0.488871806,NA,6.70E-25,6.42E-24
GRAMD1C,-1.330457622,2.798821175,NA,7.20E-25,6.88E-24
MS4A4A,-1.590336483,2.930289299,NA,7.22E-25,6.90E-24
SLC46A1,-1.152860139,2.742796518,NA,7.64E-25,7.29E-24
IGHV1-2,-2.521874753,4.04682137,NA,8.50E-25,8.08E-24
KLHL6,-1.524648933,2.711356238,NA,8.55E-25,8.12E-24
MCF2L2,-1.129804599,-0.252764033,NA,8.96E-25,8.51E-24
AKAP12,-1.816972503,4.999356072,NA,9.36E-25,8.88E-24
LURAP1,-1.354965744,-1.360990849,NA,1.02E-24,9.70E-24
AC009097.4,-1.955013438,-3.121284839,NA,1.04E-24,9.84E-24
ABCC8,-2.131429183,-1.10821049,NA,1.21E-24,1.14E-23
SNCG,-1.793619158,1.492130672,NA,1.21E-24,1.15E-23
LINC02289,-1.638414078,-2.998889391,NA,1.23E-24,1.16E-23
ATP8A1,-1.330908438,5.128201595,NA,1.24E-24,1.17E-23
NRG3,-2.024653531,-2.873836523,NA,1.29E-24,1.21E-23
CACNB1,-1.13076982,2.813360761,NA,1.32E-24,1.25E-23
PRSS36,-1.173083465,1.545632373,NA,1.48E-24,1.39E-23
RPRM,-2.304273323,-0.636137262,NA,1.54E-24,1.45E-23
SORCS3,-2.745412168,-2.852724377,NA,1.55E-24,1.46E-23
TENT5A,-1.180503828,4.940944855,NA,1.70E-24,1.59E-23
DCAF12L2,-2.490468034,-3.174103943,NA,1.79E-24,1.68E-23
NUTM2D,-1.206274064,-1.011289225,NA,1.88E-24,1.76E-23
IGHV4-59,-2.287538105,4.709700833,NA,1.89E-24,1.77E-23
SRL,-1.584638894,-0.361766781,NA,1.95E-24,1.83E-23
IGKV1OR-2,-2.217756626,-3.584624546,NA,1.99E-24,1.86E-23
CDC42EP3,-1.027782375,4.776480592,NA,2.03E-24,1.89E-23
LINC00877,-1.666316356,-1.888787253,NA,2.30E-24,2.14E-23
AC007637.1,-1.388740648,-0.985540159,NA,2.42E-24,2.25E-23
TXLNB,-1.614797135,-0.388507106,NA,2.47E-24,2.29E-23
RAB30,-1.103568185,3.6931672,NA,2.50E-24,2.32E-23
SYT9,-2.460525791,-3.059587344,NA,2.60E-24,2.41E-23
PCAT18,-2.736520996,-2.715609514,NA,2.61E-24,2.42E-23
TBPL2,-2.126717285,-3.436944724,NA,2.63E-24,2.44E-23
SUCLG2-AS1,-1.185412152,-0.84340638,NA,2.69E-24,2.50E-23
CCDC178,-1.887313615,-2.594442864,NA,2.69E-24,2.50E-23
AL354798.1,-1.759172644,-2.121191392,NA,2.78E-24,2.58E-23
FLT3,-1.78216353,-0.6728395,NA,2.87E-24,2.65E-23
UNC80,-2.354583779,-2.375592356,NA,2.89E-24,2.67E-23
SLC9A3R1,-1.003785508,7.008847233,NA,2.96E-24,2.74E-23
SLC18A2,-1.31066301,-0.342299163,NA,3.04E-24,2.81E-23
AC244100.2,-1.65406353,-2.251185524,NA,3.24E-24,2.99E-23
TRGV4,-1.968127678,-2.837809402,NA,3.29E-24,3.03E-23
COLEC12,-1.780226407,2.999884917,NA,3.37E-24,3.11E-23
CSPG4,-1.36689635,4.636210576,NA,3.45E-24,3.18E-23
NFASC,-1.379278276,3.766198577,NA,3.46E-24,3.19E-23
IGHV3-63,-2.318506277,-1.168492771,NA,3.48E-24,3.19E-23
CAPN13,-1.785752379,3.326608714,NA,3.71E-24,3.40E-23
AC004990.1,-1.926485045,-0.520981166,NA,3.73E-24,3.42E-23
PLCXD3,-2.742821217,-0.953110367,NA,3.77E-24,3.45E-23
SAMD4A,-1.210659391,3.941729671,NA,3.90E-24,3.57E-23
AL157895.1,-1.818489242,-2.175356071,NA,3.98E-24,3.64E-23
IGKV1OR22-1,-2.661022176,-1.393402441,NA,3.98E-24,3.64E-23
UGT1A1,-2.73285792,-0.211370209,NA,4.04E-24,3.69E-23
WDFY3-AS2,-1.161762895,-0.008740582,NA,4.56E-24,4.16E-23
CAMK2N1,-1.091811658,7.194973394,NA,4.57E-24,4.17E-23
AL353572.1,-2.031055327,-3.259391279,NA,4.87E-24,4.44E-23
AC026461.4,-2.341427562,-3.502325303,NA,5.10E-24,4.65E-23
LINC01016,-1.939482639,-2.963847764,NA,5.16E-24,4.70E-23
RSPO1,-2.06184993,-1.48658334,NA,5.35E-24,4.87E-23
ZNF396,-1.038915333,0.795402495,NA,5.36E-24,4.88E-23
IGHV3-6,-2.481531416,-2.85899643,NA,5.69E-24,5.17E-23
AL626787.1,-1.713010697,-2.917677063,NA,5.78E-24,5.25E-23
ABHD17AP6,-2.083207913,-3.271923383,NA,5.87E-24,5.32E-23
FAM110D,-1.249302161,0.153797588,NA,6.41E-24,5.80E-23
NXPE3,-1.027161839,2.858394351,NA,6.45E-24,5.83E-23
EVI2B,-1.489042352,3.121256555,NA,6.58E-24,5.94E-23
STARD9,-1.286454194,2.818843764,NA,6.65E-24,6.00E-23
TNNT3,-2.379788466,-2.379336026,NA,6.73E-24,6.08E-23
IGHV5-78,-1.905195788,-0.983314301,NA,6.77E-24,6.11E-23
CMKLR1,-1.410517809,3.166779538,NA,6.98E-24,6.29E-23
LINC01783,-2.25336805,-3.194991119,NA,7.01E-24,6.32E-23
PREX2,-1.390180002,1.681784829,NA,7.35E-24,6.61E-23
AL122023.1,-1.050989962,-1.737332885,NA,8.59E-24,7.70E-23
SMCHD1,-1.096957961,5.476362241,NA,9.48E-24,8.48E-23
IGHV3-49,-2.335273898,3.818371014,NA,9.62E-24,8.60E-23
GPR12,-2.816780362,-3.45185452,NA,1.01E-23,8.98E-23
AC010336.2,-1.989170502,-3.464111512,NA,1.02E-23,9.12E-23
AC022613.2,-1.169539328,-1.745408897,NA,1.13E-23,1.01E-22
AL109910.2,-2.176346219,-3.517092485,NA,1.15E-23,1.02E-22
RAB39B,-1.604194325,-0.813069207,NA,1.15E-23,1.03E-22
CD200R1,-1.542139959,0.202971347,NA,1.19E-23,1.06E-22
KCTD12,-1.468027504,5.919398162,NA,1.21E-23,1.08E-22
IGLC5,-2.504505255,-3.660995866,NA,1.23E-23,1.10E-22
IGHV3-52,-2.364478911,-1.245033769,NA,1.28E-23,1.14E-22
IGHV3OR16-8,-2.383150489,-1.133810937,NA,1.43E-23,1.27E-22
AC105942.1,-1.162529811,1.642035733,NA,1.43E-23,1.27E-22
SPAAR,-1.097917008,-0.86422153,NA,1.54E-23,1.36E-22
APOB,-3.86525953,4.488167304,NA,1.61E-23,1.42E-22
BANK1,-1.544473028,1.717364403,NA,1.63E-23,1.44E-22
IGLV1-44,-2.260294834,4.581506905,NA,1.65E-23,1.46E-22
LINC01197,-1.510796791,-0.951993032,NA,1.68E-23,1.48E-22
CACNB2,-1.409199231,2.135335409,NA,1.68E-23,1.48E-22
FBLN1,-1.60658861,6.850605766,NA,1.83E-23,1.61E-22
MEGF10,-1.890044902,-1.126763701,NA,1.99E-23,1.76E-22
KCNIP1,-2.019698021,-2.539709596,NA,2.00E-23,1.76E-22
ABCA5,-1.210519809,4.190194866,NA,2.03E-23,1.79E-22
LINC02408,-1.968293296,-2.687421484,NA,2.05E-23,1.80E-22
AL157935.2,-1.888154229,-0.934720673,NA,2.12E-23,1.87E-22
LINC01571,-2.480231033,-3.462457929,NA,2.52E-23,2.20E-22
CCDC136,-1.543355955,1.328527804,NA,2.60E-23,2.27E-22
ENPP7,-2.706786263,-2.256942226,NA,2.61E-23,2.28E-22
AC005225.4,-1.217057573,-1.188811616,NA,2.74E-23,2.39E-22
AL360004.1,-2.394975288,-3.289295432,NA,3.01E-23,2.62E-22
ZC3H12C,-1.41735051,3.604360524,NA,3.02E-23,2.63E-22
BNC2,-1.729458549,2.599998016,NA,3.02E-23,2.63E-22
C15orf59,-1.557204595,0.180815792,NA,3.44E-23,2.98E-22
PINLYP,-1.167615401,-0.261044606,NA,3.62E-23,3.13E-22
IGKV1OR2-11,-2.705802322,-2.728030125,NA,3.62E-23,3.13E-22
PCDH7,-1.557831734,3.478394087,NA,3.74E-23,3.23E-22
SUSD5,-1.80316112,-0.045235758,NA,3.98E-23,3.44E-22
ICAM3,-1.557890167,0.903821725,NA,4.01E-23,3.46E-22
STOM,-1.135562452,6.323237163,NA,4.01E-23,3.46E-22
TMEM132B,-1.715072232,-0.496678247,NA,4.02E-23,3.47E-22
IGLV3-1,-2.30607918,4.079815734,NA,4.07E-23,3.51E-22
ZNF300P1,-1.664651389,-1.121463702,NA,4.08E-23,3.52E-22
TSPAN18,-1.438119216,3.930711892,NA,4.28E-23,3.69E-22
RASSF2,-1.256443689,3.860432072,NA,4.49E-23,3.87E-22
FAM110B,-1.427190753,0.988229185,NA,4.53E-23,3.90E-22
TUBA1A,-1.262996556,6.431967911,NA,4.55E-23,3.91E-22
IGLV2-14,-2.135182863,5.716109074,NA,4.64E-23,3.99E-22
ZEB2,-1.426246811,4.497738686,NA,4.78E-23,4.11E-22
AC145124.1,-1.388611952,-2.082166966,NA,4.89E-23,4.20E-22
ABCA10,-1.562599916,0.321789066,NA,4.98E-23,4.28E-22
PCDH11X,-2.608921306,-3.595689741,NA,5.25E-23,4.50E-22
FAM19A4,-2.760196598,-3.208413097,NA,5.46E-23,4.68E-22
DPEP2,-1.383017798,0.838897111,NA,5.49E-23,4.70E-22
NDRG4,-1.178840142,2.253072195,NA,6.59E-23,5.63E-22
LINC01778,-1.852025664,-2.287317296,NA,6.66E-23,5.68E-22
KRCC1,-1.051378354,5.422806274,NA,6.82E-23,5.82E-22
NR4A3,-1.773590597,2.578117069,NA,6.95E-23,5.92E-22
RHOF,-1.445029051,2.689471949,NA,7.50E-23,6.39E-22
PTBP2,-1.002957806,3.261130087,NA,7.98E-23,6.78E-22
MT1P3,-2.385545144,-3.088292363,NA,8.16E-23,6.93E-22
AC092809.2,-1.739571784,-3.100041202,NA,8.28E-23,7.03E-22
AP001347.1,-1.675340308,-2.087533228,NA,8.65E-23,7.34E-22
PRUNE2,-1.625071382,5.804189851,NA,8.80E-23,7.46E-22
LINC00640,-1.812183842,-3.571013743,NA,9.24E-23,7.82E-22
IGHV3-23,-2.095561616,5.794923896,NA,9.39E-23,7.94E-22
IGHV3OR16-16,-2.478871503,-3.094760449,NA,9.57E-23,8.09E-22
TNFAIP8L3,-1.469992643,1.939334484,NA,9.62E-23,8.13E-22
LINC02256,-1.424484391,-2.552904486,NA,1.01E-22,8.57E-22
DIRAS1,-1.856689067,0.100799771,NA,1.05E-22,8.87E-22
AC012507.2,-1.903377368,-3.551245049,NA,1.05E-22,8.90E-22
AL355863.1,-2.266931707,-3.546539062,NA,1.07E-22,8.99E-22
CCDC80,-1.792364653,5.831682115,NA,1.07E-22,9.05E-22
PTPRR,-1.687529702,3.728996616,NA,1.13E-22,9.56E-22
ADAMTSL4,-1.321419943,3.082493072,NA,1.16E-22,9.79E-22
AC135068.2,-2.551343698,-2.065223081,NA,1.24E-22,1.04E-21
ZNF471,-1.693025082,0.831408594,NA,1.29E-22,1.08E-21
SGSM1,-1.490160979,1.679190588,NA,1.36E-22,1.14E-21
NAP1L5,-1.014155941,1.397467804,NA,1.39E-22,1.17E-21
HCG4,-1.962921238,-2.535301974,NA,1.49E-22,1.25E-21
DTNA,-1.805727599,2.376759791,NA,1.50E-22,1.26E-21
KCNS2,-2.088184129,-2.49470178,NA,1.51E-22,1.26E-21
IGKV1OR2-3,-2.498999485,-2.440581538,NA,1.52E-22,1.28E-21
SLC24A4,-1.354589897,-1.135386655,NA,1.54E-22,1.29E-21
IGKV1D-39,-2.790176747,-0.748863366,NA,1.59E-22,1.33E-21
APOA1,-3.613956615,4.288329146,NA,1.61E-22,1.35E-21
AL049597.2,-1.011926156,-0.47360966,NA,1.67E-22,1.39E-21
PLPP7,-1.342311673,0.66913893,NA,1.68E-22,1.40E-21
CD300LG,-2.818094885,-1.551972624,NA,1.70E-22,1.42E-21
LINC02245,-2.028528713,-3.566030724,NA,1.78E-22,1.48E-21
DENND5B,-1.136321095,3.4259093,NA,1.87E-22,1.56E-21
IGHV1-58,-2.455439855,1.539661411,NA,1.92E-22,1.60E-21
HRK,-2.499095023,-1.755898021,NA,1.94E-22,1.61E-21
ADA2,-1.406567695,4.939874365,NA,2.01E-22,1.67E-21
CD37,-1.420179758,3.478607563,NA,2.33E-22,1.92E-21
FER1L6,-2.396975852,2.858398628,NA,2.37E-22,1.96E-21
PPP1R14D,-1.360093406,5.404021677,NA,2.39E-22,1.97E-21
NUDT10,-1.88914378,-1.220951856,NA,2.40E-22,1.98E-21
GRIK1-AS1,-1.87402874,-3.514787799,NA,2.42E-22,2.00E-21
LINC02427,-1.83892069,-3.286973211,NA,2.43E-22,2.01E-21
AL160313.1,-1.492669951,-3.250705546,NA,2.55E-22,2.11E-21
YPEL4,-1.431000694,-0.785541901,NA,2.73E-22,2.25E-21
SAMD9,-1.428139515,4.529510058,NA,2.75E-22,2.27E-21
PCSK6,-1.006135922,4.493058413,NA,2.76E-22,2.28E-21
BARX2,-1.887550874,2.977534061,NA,2.90E-22,2.39E-21
PELI2,-1.232694153,3.5232658,NA,2.91E-22,2.40E-21
ABCB1,-1.755014491,5.55693746,NA,2.96E-22,2.43E-21
TMEM47,-1.420373628,3.891364564,NA,3.26E-22,2.67E-21
NEDD9,-1.02226599,6.115785818,NA,3.37E-22,2.76E-21
SLC2A5,-1.558578595,2.689449126,NA,3.51E-22,2.87E-21
PRRT1,-1.069294097,1.254798277,NA,3.62E-22,2.96E-21
AC018647.1,-1.649304821,-2.759142842,NA,3.64E-22,2.98E-21
DIRAS2,-2.214984154,-2.03085149,NA,3.82E-22,3.12E-21
STAP2,-1.011365278,6.68496603,NA,3.96E-22,3.23E-21
MS4A7,-1.445635778,3.509497412,NA,4.00E-22,3.26E-21
CATSPERG,-1.134177159,0.551235655,NA,4.01E-22,3.27E-21
ARHGAP25,-1.137325906,2.807711431,NA,4.02E-22,3.27E-21
MAP1LC3C,-1.720263357,-2.667201737,NA,4.21E-22,3.43E-21
IGHV3OR16-15,-2.470756109,-2.624244601,NA,4.23E-22,3.44E-21
AC022733.2,-2.122916437,-3.576113264,NA,4.24E-22,3.45E-21
AL158847.1,-1.904365423,-3.645108278,NA,4.24E-22,3.45E-21
CKMT1B,-1.125196465,4.199948001,NA,4.49E-22,3.65E-21
SMIM10,-1.422509206,1.197882312,NA,4.67E-22,3.79E-21
CACNA1A,-1.396324674,-0.147464483,NA,4.74E-22,3.85E-21
IL5RA,-1.857908613,-1.779705494,NA,4.82E-22,3.91E-21
RIPOR2,-1.417447106,2.399189402,NA,4.85E-22,3.94E-21
GABARAP,-1.166062072,5.040432063,NA,4.87E-22,3.95E-21
CDKN1A,-1.1447934,7.439086363,NA,4.89E-22,3.97E-21
AL512306.3,-1.946285424,-3.151205725,NA,5.10E-22,4.12E-21
REP15,-2.222401883,1.006986453,NA,5.12E-22,4.14E-21
TIFAB,-1.629925324,-0.424886929,NA,5.17E-22,4.18E-21
PRX,-1.133330076,1.653482589,NA,5.19E-22,4.19E-21
ITGB1BP2,-1.235138325,-0.120892424,NA,5.23E-22,4.23E-21
SYT11,-1.187428765,3.55008531,NA,5.30E-22,4.27E-21
GP1BA,-1.278318626,-0.061361162,NA,5.44E-22,4.39E-21
AC068722.2,-1.695369952,-2.403562305,NA,5.67E-22,4.57E-21
GPR88,-2.113003478,-2.115275621,NA,5.71E-22,4.60E-21
FAM218A,-1.923215535,-2.266207898,NA,6.18E-22,4.97E-21
SLC10A4,-1.885052905,-1.539481473,NA,6.27E-22,5.04E-21
CCM2L,-1.057394439,0.693214063,NA,6.93E-22,5.56E-21
SEC14L6,-1.725614921,-2.042477722,NA,7.29E-22,5.85E-21
GDNF-AS1,-2.00697756,-2.544928575,NA,7.48E-22,5.99E-21
PRNP,-1.089334113,6.11147771,NA,7.49E-22,6.00E-21
KLK15,-1.922290515,0.679504886,NA,7.60E-22,6.08E-21
IGKV1-9,-2.255216081,4.191697252,NA,7.79E-22,6.23E-21
AC005736.1,-1.229290545,-2.389027397,NA,8.14E-22,6.51E-21
VLDLR-AS1,-1.792521768,-1.449554823,NA,8.18E-22,6.53E-21
S1PR1,-1.110667767,3.59343705,NA,8.26E-22,6.60E-21
LINC02554,-2.449730665,-3.309164468,NA,8.32E-22,6.64E-21
GFI1B,-2.087298661,-0.977471752,NA,8.35E-22,6.66E-21
AC022733.1,-2.201946926,-3.569359387,NA,8.43E-22,6.72E-21
TRGV2,-1.868830452,-3.093631167,NA,8.49E-22,6.77E-21
AL512363.1,-1.738131658,-1.727952138,NA,8.53E-22,6.80E-21
HEPACAM2,-2.394393689,4.689807347,NA,8.69E-22,6.93E-21
LYPLAL1-DT,-1.798156983,-3.412642698,NA,9.19E-22,7.32E-21
IGKV3-11,-2.097991571,6.379624997,NA,9.27E-22,7.38E-21
AC008609.1,-2.359829355,-3.146281173,NA,9.38E-22,7.46E-21
IGHV5-51,-2.177213217,5.426681784,NA,1.05E-21,8.36E-21
STAC,-1.878643967,-0.28502908,NA,1.10E-21,8.74E-21
NTRK3,-2.101424199,-0.010930798,NA,1.12E-21,8.87E-21
AL157931.1,-2.663521744,-3.48520731,NA,1.23E-21,9.75E-21
ATP2B3,-2.651439557,-2.490475108,NA,1.24E-21,9.76E-21
C10orf99,-1.863641441,6.558514933,NA,1.32E-21,1.04E-20
NCF1,-1.46567491,1.216117321,NA,1.34E-21,1.06E-20
AL354732.1,-1.363834413,-0.938784758,NA,1.34E-21,1.06E-20
CA10,-2.281324946,-2.265591857,NA,1.39E-21,1.09E-20
RGS5,-1.285762868,5.310730098,NA,1.40E-21,1.10E-20
RAB23,-1.073798103,3.794658815,NA,1.40E-21,1.10E-20
FMO1,-1.737169014,0.149481755,NA,1.43E-21,1.12E-20
RUNX1T1,-1.483312319,1.887646253,NA,1.43E-21,1.13E-20
GPR142,-1.904179022,-3.073976598,NA,1.44E-21,1.14E-20
C1QA,-1.365933893,6.173960853,NA,1.46E-21,1.15E-20
MXRA7,-1.172894932,5.470827263,NA,1.51E-21,1.19E-20
SLC17A1,-2.195322553,-2.340177412,NA,1.52E-21,1.19E-20
TCEAL3,-1.176376989,2.735950329,NA,1.53E-21,1.20E-20
BCL2L15,-1.193463758,5.556883285,NA,1.55E-21,1.22E-20
AL445423.1,-1.754187376,-3.512164282,NA,1.58E-21,1.24E-20
HOXD12,-2.48795585,-2.00373352,NA,1.61E-21,1.26E-20
AL161785.1,-1.595250239,-2.051972412,NA,1.66E-21,1.30E-20
AKR1B10P1,-2.392246917,-2.098305047,NA,1.67E-21,1.31E-20
LIX1,-2.494529801,-2.358406516,NA,1.68E-21,1.31E-20
OMD,-2.464573653,0.493734053,NA,1.74E-21,1.36E-20
AC099524.1,-1.741600069,-2.557317742,NA,1.74E-21,1.36E-20
NMRAL2P,-1.578188146,0.468956967,NA,1.75E-21,1.37E-20
C1orf21,-1.066920942,5.783137799,NA,1.82E-21,1.42E-20
AC010226.1,-1.107752823,-1.26794416,NA,1.84E-21,1.44E-20
AC010980.2,-1.926454738,-2.427453509,NA,1.92E-21,1.50E-20
KCNT2,-1.729401455,-1.055122057,NA,1.95E-21,1.52E-20
AC138207.8,-1.144327175,0.388594343,NA,1.95E-21,1.52E-20
CPB1,-3.048941041,-1.11464569,NA,1.96E-21,1.52E-20
RASGRP4,-1.374338277,0.658992667,NA,2.06E-21,1.60E-20
IGHVIII-67-2,-2.374194531,-3.622473276,NA,2.26E-21,1.75E-20
CFAP99,-1.538062625,-2.161316959,NA,2.28E-21,1.77E-20
TMOD2,-1.285768152,3.238715763,NA,2.28E-21,1.77E-20
FAM95B1,-1.962050886,-3.408982261,NA,2.63E-21,2.03E-20
LY86,-1.271651014,1.363293721,NA,2.65E-21,2.05E-20
STON1-GTF2A1L,-2.300043903,-3.008437058,NA,2.66E-21,2.06E-20
FGFR1,-1.23834502,5.07988787,NA,2.70E-21,2.09E-20
AC093311.1,-1.920380577,-3.273655662,NA,2.75E-21,2.13E-20
AC020928.1,-1.452706578,-1.687805672,NA,2.76E-21,2.13E-20
MAP1B,-1.424036328,4.032550681,NA,2.86E-21,2.21E-20
NCKAP1L,-1.28381199,4.220023683,NA,2.94E-21,2.27E-20
AC109309.1,-2.254608831,-3.687174904,NA,3.21E-21,2.47E-20
BFSP2,-1.758983973,-2.35783474,NA,3.25E-21,2.50E-20
IGHV3-71,-2.200258099,-0.929122599,NA,3.30E-21,2.54E-20
PPP1R36,-1.269568897,1.974948103,NA,3.35E-21,2.58E-20
TRPM4,-1.026936081,7.00285325,NA,3.36E-21,2.58E-20
TTLL7,-1.620963364,1.44775291,NA,3.43E-21,2.64E-20
FO393418.1,-1.37989612,-2.968559833,NA,3.45E-21,2.65E-20
AC100786.1,-1.185388149,-1.7348822,NA,3.51E-21,2.70E-20
PNLIPRP2,-2.302095747,2.006173891,NA,3.52E-21,2.71E-20
SEMA3D,-2.2129153,0.762991743,NA,3.58E-21,2.75E-20
IGLV2-33,-2.349155722,-1.986643946,NA,3.67E-21,2.82E-20
TRPC6,-1.241425864,0.795691914,NA,3.69E-21,2.83E-20
IQCM,-2.242416244,-2.19834794,NA,3.70E-21,2.84E-20
KIR2DL4,-2.020330439,-1.000201873,NA,3.73E-21,2.86E-20
DOCK10,-1.261844442,3.192196516,NA,3.78E-21,2.90E-20
IGHV3-15,-2.197036371,4.916151547,NA,3.91E-21,2.99E-20
P2RY10,-1.552591317,0.360731551,NA,4.02E-21,3.08E-20
IGF1,-1.828038112,-0.004642573,NA,4.12E-21,3.15E-20
ADRA2A,-1.683509071,4.008675157,NA,4.15E-21,3.17E-20
JPH3,-1.867035733,-1.155478854,NA,4.18E-21,3.19E-20
RGS18,-1.46490131,0.430310146,NA,4.42E-21,3.37E-20
AL596244.1,-1.093384499,1.176821913,NA,4.42E-21,3.37E-20
LILRP2,-1.800548381,-2.659074262,NA,4.52E-21,3.45E-20
AC127496.7,-1.088541202,-0.004277974,NA,4.64E-21,3.53E-20
AC011472.4,-1.786229181,-2.099313949,NA,4.78E-21,3.64E-20
AC021683.1,-2.242114885,-1.229570565,NA,4.82E-21,3.67E-20
TPSG1,-2.081028643,2.98926584,NA,4.91E-21,3.73E-20
SENCR,-1.253337691,-1.674968208,NA,4.96E-21,3.77E-20
EHD2,-1.270841005,5.767326515,NA,4.98E-21,3.79E-20
CD33,-1.285950175,0.887731416,NA,5.00E-21,3.80E-20
NEFL,-2.598678256,0.70272185,NA,5.13E-21,3.89E-20
ARHGAP10,-1.2939925,3.184058577,NA,5.21E-21,3.95E-20
AC079834.2,-1.770614544,-2.26351988,NA,5.37E-21,4.07E-20
RASSF6,-1.097281774,4.656514459,NA,5.45E-21,4.13E-20
PLA2G10,-1.445998883,1.930624171,NA,5.55E-21,4.20E-20
NPY4R2,-1.792580088,-2.201840541,NA,5.93E-21,4.49E-20
FCGBP,-2.312400953,9.969150514,NA,6.08E-21,4.59E-20
TMEM54,-1.131474314,7.844980144,NA,6.20E-21,4.68E-20
RIMS3,-1.422011746,2.936985264,NA,6.29E-21,4.75E-20
RFPL1S,-1.593513424,-2.55296333,NA,6.54E-21,4.93E-20
TAGAP,-1.35778153,2.534973927,NA,6.82E-21,5.13E-20
AC129507.1,-1.701382554,-1.578541036,NA,6.89E-21,5.19E-20
CYP4F29P,-2.270308069,-1.460978479,NA,7.33E-21,5.51E-20
ZNF418,-1.441479529,-0.685099459,NA,7.42E-21,5.58E-20
VSTM4,-1.235246262,3.210080367,NA,7.78E-21,5.84E-20
AXL,-1.150944093,4.928762835,NA,7.90E-21,5.93E-20
HCLS1,-1.153226866,4.523791704,NA,7.99E-21,5.99E-20
LINC00473,-2.162235912,-2.000284822,NA,8.08E-21,6.05E-20
LINC01160,-1.685564142,-2.199295925,NA,8.10E-21,6.07E-20
FCRL1,-2.35224067,-0.688542688,NA,8.39E-21,6.28E-20
AP004609.1,-2.256702893,-3.406626861,NA,8.67E-21,6.49E-20
CYP11A1,-1.80281646,-1.898031414,NA,8.84E-21,6.61E-20
TPO,-1.837594547,-0.361201613,NA,8.86E-21,6.62E-20
LINC02397,-2.145786586,-2.22273858,NA,9.30E-21,6.95E-20
LINC00402,-2.146420951,-2.529364944,NA,9.31E-21,6.95E-20
BLOC1S5-TXNDC5,-1.730638623,-2.520245569,NA,9.60E-21,7.16E-20
SLAMF1,-1.252582396,1.301826792,NA,9.96E-21,7.42E-20
NCF1C,-1.497558241,0.601178329,NA,9.97E-21,7.42E-20
AC083900.1,-1.716188662,-1.976659289,NA,1.04E-20,7.72E-20
GLOD5,-1.281868092,1.036176514,NA,1.05E-20,7.83E-20
AC036108.2,-2.146435477,-3.119342062,NA,1.05E-20,7.83E-20
LGALS9B,-1.997007613,1.900115674,NA,1.08E-20,7.99E-20
EBI3,-1.317158224,0.836928535,NA,1.13E-20,8.36E-20
IGKV1OR2-6,-2.393053453,-0.83613412,NA,1.14E-20,8.48E-20
PSMD10P2,-1.411581664,-1.292268658,NA,1.19E-20,8.83E-20
COL14A1,-1.495933401,5.455074694,NA,1.22E-20,9.06E-20
ADAM28,-1.394252989,3.03220025,NA,1.29E-20,9.54E-20
TGFBR3,-1.273688705,4.470722692,NA,1.33E-20,9.86E-20
OASL,-1.397806615,4.047617254,NA,1.36E-20,1.00E-19
IGKV4-1,-2.069067671,6.669793132,NA,1.36E-20,1.01E-19
AL161457.1,-2.600402058,-3.667834993,NA,1.48E-20,1.10E-19
IGHV1OR15-2,-2.240740968,-0.337734602,NA,1.57E-20,1.16E-19
FO681492.1,-1.689134956,-2.867943158,NA,1.59E-20,1.17E-19
GIMAP5,-1.458042131,-0.017223649,NA,1.61E-20,1.19E-19
WWTR1,-1.289677591,4.863504951,NA,1.62E-20,1.20E-19
