,logFC,logCPM,insert,PValue,FDR
PDE5A,-1.997247561,4.654754404,NA,2.90E-65,1.35E-63
ACAA2,-1.649795175,7.032234226,NA,2.96E-65,1.38E-63
DNASE1L3,-3.263619347,2.357635277,NA,3.04E-65,1.41E-63
OPN3,-1.578415816,3.005258233,NA,3.24E-65,1.50E-63
B3GALT5-AS1,-3.998251926,0.819387615,NA,3.26E-65,1.51E-63
CA12,-2.298579218,7.20286929,NA,3.88E-65,1.79E-63
ADGRL3,-2.482018347,1.390678092,NA,4.07E-65,1.88E-63
JPH4,-2.572420219,-0.998624925,NA,6.59E-65,3.04E-63
CPNE8,-2.124056329,2.794986264,NA,6.78E-65,3.12E-63
SETBP1,-2.203891311,2.631406784,NA,7.11E-65,3.27E-63
SORBS1,-2.268004781,6.073773006,NA,7.70E-65,3.53E-63
LIMS2,-2.412926346,4.732838026,NA,8.78E-65,4.02E-63
SLIT3,-2.519737383,4.189195463,NA,9.96E-65,4.55E-63
IGHV3OR16-13,-3.729962767,-0.792036217,NA,1.07E-64,4.89E-63
EPHA7,-3.527732538,1.98174136,NA,1.35E-64,6.16E-63
DAAM2,-1.914132223,3.233433618,NA,1.82E-64,8.24E-63
AC021491.4,-2.353721557,-1.924674025,NA,2.78E-64,1.26E-62
AC110491.1,-4.69164755,-3.008796116,NA,2.95E-64,1.33E-62
SEMA6A,-2.34962083,4.943427336,NA,3.16E-64,1.43E-62
MMP28,-2.68989892,3.582775825,NA,3.27E-64,1.47E-62
LYNX1,-2.589517885,1.926453477,NA,3.34E-64,1.50E-62
CASR,-3.373387328,-2.811247855,NA,4.22E-64,1.90E-62
TCEAL7,-2.283869908,0.754733414,NA,1.14E-63,5.14E-62
SIAE,-1.558194577,6.678503173,NA,1.16E-63,5.18E-62
KRTAP13-2,-5.189630411,-1.190853864,NA,1.17E-63,5.24E-62
B3GNT7,-3.163733682,5.992871861,NA,1.51E-63,6.72E-62
BCAR3,-1.42243823,4.351060461,NA,1.60E-63,7.12E-62
PGR,-2.765884219,0.480722117,NA,1.66E-63,7.37E-62
AC009102.2,-3.492484644,-2.936974516,NA,1.85E-63,8.23E-62
SMTN,-1.645677988,7.046542423,NA,2.05E-63,9.10E-62
HS3ST6,-4.090741472,-2.324634356,NA,2.49E-63,1.10E-61
LINC00294,-1.14305315,3.139043796,NA,2.94E-63,1.30E-61
AP001554.1,-3.224481537,-1.483645325,NA,4.89E-63,2.16E-61
P2RY12,-2.879089297,-1.179198741,NA,6.30E-63,2.77E-61
AC110995.1,-2.826229387,-2.500559579,NA,7.04E-63,3.10E-61
AC004947.1,-3.140122199,-2.601526628,NA,7.34E-63,3.22E-61
SLC5A12,-3.714358496,-0.0039864,NA,8.91E-63,3.90E-61
CWH43,-3.875663939,2.593417319,NA,1.17E-62,5.13E-61
SQOR,-1.509813678,6.61634069,NA,1.47E-62,6.41E-61
CHL1,-2.661202351,2.036817553,NA,1.74E-62,7.56E-61
MARVELD3,-1.23856364,5.335728249,NA,1.84E-62,8.00E-61
ABHD5,-1.1367243,3.797376441,NA,2.07E-62,8.98E-61
PHOX2A,-3.494084277,-2.445312134,NA,2.44E-62,1.06E-60
MPP2,-2.11361758,1.028841491,NA,3.28E-62,1.42E-60
DHRS9,-3.319808934,4.745870583,NA,3.82E-62,1.65E-60
GALR1,-3.735055655,-2.732868938,NA,4.03E-62,1.73E-60
