"","logFC","logCPM","PValue","FDR"
"CD27",-1.88627953629113,1.94486185463232,2.27525193673495e-37,4.02700473037912e-36
"PRR5L",-1.07537812236239,5.64860427175446,2.34204367438232e-37,4.13595225292121e-36
"DMPK",-1.34911495500838,4.9077609139998,2.47887805290882e-37,4.37270766753481e-36
"ZMAT4",-3.03166075670231,-2.82115154458176,2.55091918507674e-37,4.49727621730634e-36
"CLDN7",-1.11422458479992,8.45855420459638,2.84674110288114e-37,5.0104229338899e-36
"VIPR1",-1.5579945565543,5.41425854888489,2.85256495027268e-37,5.0178777546751e-36
"SPECC1",-1.21164830439599,4.90457460273243,2.94425005025901e-37,5.17627667433684e-36
"SNX24",-1.35913046684198,2.59253453250557,3.28326686359048e-37,5.76268055674523e-36
"RBMS3-AS3",-2.59143702867095,-3.31501890676357,3.37842773053296e-37,5.92641128765839e-36
"LINC00955",-3.34928550153345,-2.07455079722058,3.90307104491846e-37,6.83535052783308e-36
"AC008878.3",-2.94019781281584,-3.40256673217352,4.09664343789595e-37,7.16640399410004e-36
"CDHR2",-2.16413275217836,5.91139545107669,4.39165138684343e-37,7.67397357657879e-36
"VDR",-1.09016210480358,6.77988063285735,4.45937392935759e-37,7.78370168785604e-36
"PLXNA2",-1.12121631035398,5.99615514182545,4.5978483161339e-37,8.02097304536822e-36
"AC005180.2",-2.84525442605525,-1.93397186535026,5.19795696965335e-37,9.05786290911518e-36
"LINC01133",-1.66787805887653,3.93502243684702,5.78337961773813e-37,1.00669042569257e-35
"GSG1L",-2.80529879720942,-2.80790913299089,5.79370760241289e-37,1.00793284296823e-35
"LCN6",-2.79312833884442,-2.51924153860154,6.83049528101214e-37,1.18764907767208e-35
"STK17B",-1.1333982427385,5.37155373137607,7.41452617958024e-37,1.28848803955709e-35
"CXCR5",-2.79535223096718,-2.17202855702029,7.89944320365701e-37,1.37124785237987e-35
"NEU4",-2.1884095167228,3.75967055245039,8.83708366427243e-37,1.52646246148365e-35
"SH3BGRL2",-1.03403649758967,6.98384912169202,9.23436922378935e-37,1.59421544747091e-35
"STON1",-1.87671131399956,2.63676628247813,9.24699678209527e-37,1.59543869261505e-35
"SFRP5",-3.47146679737897,-0.0812475549698219,9.25155472690395e-37,1.59543869261505e-35
"LINC01624",-2.24905484605736,-2.99747032608438,9.70630329379039e-37,1.67203511428964e-35
"SDHD",-1.11988301551984,6.34150778004367,9.95445423071365e-37,1.71384780659911e-35
"SEC1P",-1.80162570420343,-1.7773323992807,1.00469117921327e-36,1.72882398828349e-35
"KCNA3",-2.20291117402222,-0.335698051301506,1.14577411830617e-36,1.97051941859809e-35
"RPH3A",-2.45555563999393,-2.42674630026482,1.15190580134101e-36,1.9799869413366e-35
"COL19A1",-2.80780315024197,-2.3755650656972,1.15870792057077e-36,1.99059593989082e-35
"COX7A1",-1.60060936243022,2.25679541574451,1.19971964272246e-36,2.05993166698536e-35
"PIGZ",-1.67933327907875,5.2094714835967,1.20806894728786e-36,2.0731408067173e-35
"GAS1RR",-2.65218612549107,-2.17751868432847,1.22654427998494e-36,2.10370322679502e-35
"DENND1C",-1.05518383956089,4.93647907960008,1.39153938992305e-36,2.38281322199668e-35
"HOXD1",-2.32273593802001,-0.485026181428777,1.44304267667765e-36,2.46832957684228e-35
"KRT222",-2.76663654748202,-2.87280688353228,1.51675192300096e-36,2.59300560083168e-35
"OTUD7A",-1.58240960100607,1.10798889383777,1.58909078232879e-36,2.70934404134449e-35
"TAX1BP3",-1.0546838163666,4.92843569170349,1.78386303690252e-36,3.03487264000331e-35
"CILP",-2.82745797242322,2.93259103209569,1.82776546248594e-36,3.1078898953885e-35
"ZDHHC15",-2.00980485160257,-0.803080824901487,1.93496998615521e-36,3.28487408772712e-35
"ECE1",-1.06210595552777,7.31741033538093,1.95468062869482e-36,3.31477322073835e-35
"OLFM3",-3.22465756418537,-2.2110654567068,2.04426792086926e-36,3.46112306666787e-35
"MEIS2",-2.01221868022759,2.56794833482455,2.19811434928618e-36,3.71761384566372e-35
"FOXF1",-1.46487708676724,4.19273516203936,2.33366299848228e-36,3.93843029439373e-35
"MYL6",-1.00464238311664,9.71071496094213,2.35589737037747e-36,3.9738315868839e-35
"GNAI1",-1.50654766482894,3.83199441492405,2.35984000750713e-36,3.97835780988115e-35
"VIT",-2.56315886384298,-0.614725776773114,2.3800890775609e-36,4.01035489212701e-35
"TREH",-2.24586028435986,1.29800297311946,2.4369256075565e-36,4.10393340722455e-35
"PDE3A",-1.98133581175754,4.76616821307256,2.57629445488005e-36,4.33401867481498e-35
"AC034105.1",-3.01418524239459,-1.52147192012384,2.6345736209929e-36,4.42970113933096e-35
"BLK",-2.55472111724232,0.303580200774327,2.68980405129341e-36,4.51775541693315e-35
"AC005180.1",-2.92721084765624,-2.29344315672363,3.029650877878e-36,5.08045436225051e-35
"AL158071.1",-2.76934799543772,-2.69863670673066,3.26190386457514e-36,5.45833309287725e-35
"KIF5C",-2.08292808743917,1.21569389328394,3.68471562930882e-36,6.14307234178118e-35
"CNR2",-2.37513189530556,-1.17414114483917,3.70300306243536e-36,6.17030462824475e-35
"SERPINA9",-3.93289508312588,-1.61957516231195,3.78444381389784e-36,6.30268494530704e-35
