"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C10orf2",1.04794244342763,5.40229875556973,9.68676098198626,6.53318834188725e-08,9.84473084862305e-06,8.60455049041448
"NOLC1",1.12915705524797,6.89255952262326,9.64146852408765,6.95127426616342e-08,9.9941490994878e-06,8.54330106963396
"ARMC10",1.11632878587227,7.78639621784579,9.630870923972,7.0531183037297e-08,9.9941490994878e-06,8.52893538261882
"C19orf48",1.04408397180188,7.09807005326073,9.62867042679861,7.07446211775899e-08,9.9941490994878e-06,8.52595083444879
"PNO1",1.33532593793015,7.24806523716169,9.62026000150032,7.15666980070755e-08,9.9941490994878e-06,8.51453851665883
"MYEOV",1.67479536384544,5.63087007804854,9.61667229953866,7.19204406482196e-08,9.9941490994878e-06,8.50966776172335
"CXCL3",3.21774057347284,6.99534403396353,9.61564971116708,7.20216041688701e-08,9.9941490994878e-06,8.50827919466068
"XPOT",1.00541795604273,8.79125434687491,9.61522048892357,7.20641113910773e-08,9.9941490994878e-06,8.50769631977835
"LRRC8E",1.66300260161985,4.93723699187312,9.53992113307751,7.9947192794747e-08,1.03142830375469e-05,8.40510753393018
"CEMIP",1.76611036437469,5.19461872121113,9.51396367756588,8.28714981458776e-08,1.0434442711223e-05,8.36958836631003
"DDX10",1.28411195230484,6.71041310643448,9.49014308330382,8.56544950552304e-08,1.05605683119892e-05,8.33692324236256
"RNF43",1.52807779627547,6.69633199582152,9.45653891587863,8.97494056713148e-08,1.08366654181082e-05,8.29072776129711
"CDK4",1.17903831022035,8.2466299228708,9.42894055614816,9.32668952211222e-08,1.09825617469238e-05,8.25268821586812
"SOX9",1.73274779278859,8.0190384143912,9.42274921418213,9.40757991603252e-08,1.09825617469238e-05,8.24414208549667
"NFXL1",1.07870896512805,6.46557200268522,9.42182317754658,9.41974216241595e-08,1.09825617469238e-05,8.24286345165976
"MYC",1.9713253235861,10.3061527283959,9.41985782087141,9.44560948716103e-08,1.09825617469238e-05,8.24014942842565
"DNAJC2",1.05510022235116,8.80479618166886,9.39665628566857,9.75670881957678e-08,1.1081238739015e-05,8.20807488877563
"MRTO4",1.04514132229571,6.93659133975928,9.39527002760128,9.77563559117409e-08,1.1081238739015e-05,8.20615644803504
