,logFC,logCPM,insert,PValue,FDR
RNF43,2.315766368,8.138087323,NA,9.59E-43,2.11E-41
LINC00858,5.825800049,0.695194327,NA,1.19E-42,2.61E-41
SETD6,1.038640667,3.995522452,NA,1.29E-42,2.81E-41
CD44,1.315389019,8.425869852,NA,1.29E-42,2.82E-41
LINC01811,6.169876568,-0.551655083,NA,1.48E-42,3.21E-41
KIF20A,1.529781908,4.747840253,NA,1.84E-42,3.98E-41
MIR4435-2HG,1.526956657,3.923429217,NA,2.84E-42,6.11E-41
E2F1,1.860395359,5.123573521,NA,2.86E-42,6.15E-41
FAM227A,2.30374894,1.280814504,NA,3.22E-42,6.92E-41
SLC12A8,1.156325905,4.55663689,NA,4.02E-42,8.60E-41
WDR62,1.836680449,4.095152162,NA,4.16E-42,8.89E-41
NME1,1.69607491,6.328941373,NA,5.00E-42,1.07E-40
SCD,2.315519348,9.033506678,NA,7.53E-42,1.60E-40
PRDM12,2.703006575,-1.441307747,NA,9.19E-42,1.94E-40
PRR36,4.053581529,3.217940176,NA,1.12E-41,2.36E-40
CELSR1,2.268992191,5.440131396,NA,1.12E-41,2.36E-40
XPNPEP3,1.092668612,4.51103317,NA,1.57E-41,3.30E-40
VEGFA,1.529909846,7.476013431,NA,1.78E-41,3.74E-40
HAUS5,1.208712715,4.471819781,NA,1.92E-41,4.03E-40
ULBP1,3.822568809,-0.059710424,NA,2.27E-41,4.75E-40
TXNRD3,1.181054308,3.102661906,NA,2.53E-41,5.27E-40
UBE3D,1.251582729,2.673923334,NA,3.11E-41,6.46E-40
PBX4,2.016477704,1.920313376,NA,3.30E-41,6.83E-40
WDR4,1.551481989,4.596130746,NA,3.34E-41,6.89E-40
TBC1D24,1.002948306,4.003157976,NA,3.84E-41,7.93E-40
RHBDF2,1.543770768,5.642841922,NA,4.10E-41,8.42E-40
CCNF,1.459650473,5.129808608,NA,4.14E-41,8.50E-40
RCL1,1.043639999,3.999239546,NA,4.40E-41,9.02E-40
PLEKHA8P1,1.633772001,1.633919837,NA,4.71E-41,9.66E-40
AC124067.2,3.496389718,1.679467537,NA,4.76E-41,9.75E-40
GDF15,2.983313466,7.591347925,NA,4.81E-41,9.84E-40
RAE1,1.372831942,6.048372496,NA,5.08E-41,1.04E-39
ZNF473,1.026865292,3.823304462,NA,5.47E-41,1.12E-39
STRIP2,2.394972548,2.886473917,NA,6.39E-41,1.30E-39
SMYD5,1.100532419,5.420082261,NA,6.53E-41,1.33E-39
LINC01705,6.576404272,-0.646974885,NA,9.62E-41,1.95E-39
FIRRE,5.65149055,0.762361769,NA,1.06E-40,2.15E-39
COL7A1,3.25479539,5.254912007,NA,1.20E-40,2.43E-39
C19orf48,1.905887475,6.90001218,NA,1.27E-40,2.56E-39
GAD1,5.218398901,1.78250946,NA,1.57E-40,3.16E-39
SULT2B1,3.112639684,4.765235174,NA,1.65E-40,3.32E-39
TOP1MT,1.863312312,6.187234381,NA,2.99E-40,5.98E-39
FANCA,1.408042448,4.739309424,NA,4.28E-40,8.55E-39
RECQL4,2.264429202,5.57318967,NA,4.52E-40,9.00E-39
DIAPH3,1.621933595,4.300904508,NA,4.84E-40,9.62E-39
WDR74,1.221336543,5.254221232,NA,4.97E-40,9.88E-39
AC026369.2,2.66985006,-0.941765847,NA,5.15E-40,1.02E-38
E2F7,1.869807047,3.060055594,NA,5.61E-40,1.11E-38
C17orf53,1.462763885,2.910526224,NA,5.70E-40,1.13E-38
TMEM97,1.571430382,6.234165677,NA,5.74E-40,1.13E-38
GRHL1,2.363234448,2.64563946,NA,5.95E-40,1.18E-38
UHRF1,1.878373802,4.690220182,NA,6.27E-40,1.24E-38
AL049836.1,3.415157036,0.28978376,NA,6.27E-40,1.24E-38
CMTM8,1.340031144,4.020485823,NA,8.58E-40,1.68E-38
NOTUM,8.819782849,6.36681722,NA,9.35E-40,1.83E-38
NOB1,1.193800282,6.378279785,NA,1.01E-39,1.98E-38
CDCA3,1.531532725,4.710634841,NA,1.17E-39,2.29E-38
AURKA,1.556722141,5.729284218,NA,1.18E-39,2.30E-38
VSNL1,2.84555652,4.927988623,NA,1.39E-39,2.71E-38
GRIN2B,3.255527355,2.868641637,NA,1.48E-39,2.89E-38
DLGAP1-AS2,2.197473721,3.408646997,NA,1.66E-39,3.22E-38
POP1,1.460693095,4.008981441,NA,1.72E-39,3.35E-38
GLS2,2.508986241,0.192522463,NA,1.72E-39,3.35E-38
PRR7-AS1,2.468425393,-0.087985879,NA,1.74E-39,3.37E-38
VAC14-AS1,3.220775003,-0.54782967,NA,2.01E-39,3.89E-38
C1orf112,1.204861426,3.460203761,NA,2.15E-39,4.16E-38
RUNX1,1.410125923,6.266553893,NA,2.42E-39,4.66E-38
ANKZF1,1.022057918,5.514972227,NA,2.57E-39,4.94E-38
AZGP1,3.241619284,6.276310848,NA,2.59E-39,4.98E-38
STC2,3.586347679,4.841841186,NA,2.67E-39,5.13E-38
