,logFC,logCPM,insert,PValue,FDR
AC120498.9,1.336650577,-2.163758785,NA,6.01E-10,2.00E-09
AL353747.3,2.457082701,-2.063891949,NA,6.06E-10,2.02E-09
AC024884.2,1.570820194,-3.072464446,NA,6.08E-10,2.02E-09
MC3R,3.188884986,-3.602015578,NA,6.12E-10,2.04E-09
PHBP2,1.911045039,-2.717438458,NA,6.17E-10,2.05E-09
AC074117.2,1.336475489,-2.919045791,NA,6.26E-10,2.08E-09
RNA5SP141,8.703406135,0.364879873,NA,6.26E-10,2.08E-09
Z74021.1,1.378939043,0.787436339,NA,6.28E-10,2.09E-09
FAR2P4,4.604840971,-2.493173004,NA,6.31E-10,2.10E-09
POU5F2,4.38519683,-1.34474682,NA,6.31E-10,2.10E-09
HCAR3,2.644368283,-0.028143321,NA,6.32E-10,2.10E-09
FGF23,3.97458664,-2.33019486,NA,6.35E-10,2.11E-09
RPSAP46,1.421488355,-1.577078073,NA,6.35E-10,2.11E-09
AC068389.2,1.751753349,-3.36574899,NA,6.40E-10,2.13E-09
AC120042.2,2.295618992,-2.922503088,NA,6.46E-10,2.15E-09
AP006545.1,1.241716037,-1.900259979,NA,6.48E-10,2.15E-09
AC112247.1,2.766871072,-2.756886126,NA,6.51E-10,2.16E-09
LINC01060,2.702325008,-3.146415059,NA,6.57E-10,2.18E-09
FAM201A,1.033118263,1.906527986,NA,6.59E-10,2.19E-09
SNORD6,1.184790222,-1.815157664,NA,6.60E-10,2.19E-09
RIBC2,1.16947092,0.951799491,NA,6.64E-10,2.20E-09
AP001029.2,1.411734845,-1.30213225,NA,6.65E-10,2.21E-09
AC009084.2,1.377523153,-1.095976722,NA,6.67E-10,2.21E-09
AL355032.1,1.441049963,-0.727871028,NA,6.70E-10,2.22E-09
AL928654.2,1.046471649,0.066452329,NA,6.75E-10,2.24E-09
RPL7P13,1.817547051,-3.074934983,NA,6.76E-10,2.24E-09
KRT5,4.252236038,3.414963542,NA,6.99E-10,2.31E-09
AC005776.2,1.022512278,-1.61963049,NA,7.04E-10,2.33E-09
AC027373.1,1.084986041,-1.599180193,NA,7.07E-10,2.34E-09
AC105052.2,1.034048504,-1.665988588,NA,7.12E-10,2.36E-09
AL589674.1,1.719186154,-2.957645866,NA,7.15E-10,2.37E-09
MAGEA1,7.47243103,-0.202648414,NA,7.16E-10,2.37E-09
AC148477.4,2.717026816,-1.851523542,NA,7.20E-10,2.38E-09
ERV3-1,1.070326407,3.337274509,NA,7.23E-10,2.39E-09
SERBP1P1,1.080983991,-1.365659625,NA,7.27E-10,2.40E-09
PLEKHB1,1.231766637,5.528777179,NA,7.32E-10,2.42E-09
ZNRF2P1,1.14804804,-0.755762378,NA,7.33E-10,2.42E-09
AC021534.1,3.841537247,-3.359022686,NA,7.33E-10,2.42E-09
RPL5P4,1.050203504,-0.235390726,NA,7.42E-10,2.45E-09
AC011495.1,1.600851364,0.783677772,NA,7.43E-10,2.46E-09
AC073052.1,1.992657616,-2.382020172,NA,7.46E-10,2.46E-09
AC007731.1,2.975728426,-3.648758232,NA,7.48E-10,2.47E-09
RNU1-11P,6.775693638,-1.377948544,NA,7.49E-10,2.47E-09
AC074050.4,1.593280986,-2.821364115,NA,7.59E-10,2.51E-09
AL606537.1,2.748421454,-2.625072497,NA,7.63E-10,2.52E-09
HNRNPH1P1,1.665949692,-1.49935326,NA,7.64E-10,2.52E-09
SERPINB3,5.431060779,-1.030848196,NA,7.68E-10,2.53E-09
AC091153.3,1.146772683,-1.892175473,NA,7.70E-10,2.54E-09
PPIAP51,2.384984676,-2.168971008,NA,7.71E-10,2.54E-09
AC024581.1,2.258309444,-3.56317305,NA,7.79E-10,2.57E-09
LINC02419,2.774119241,-3.487045356,NA,8.00E-10,2.64E-09
HOXC13,4.821849581,-1.844079374,NA,8.05E-10,2.65E-09
TBL1XR1-AS1,3.354926365,-2.454852855,NA,8.18E-10,2.69E-09
UBE2FP3,1.210636562,-1.13815041,NA,8.19E-10,2.70E-09
LINC02519,1.712911441,-2.302873801,NA,8.20E-10,2.70E-09
OBP2A,2.863650907,-2.582881968,NA,8.26E-10,2.72E-09
TLX3,4.053594401,-2.40852313,NA,8.30E-10,2.73E-09
AC025031.4,1.624717285,-0.97659655,NA,8.30E-10,2.73E-09
SCARNA8,3.010978555,-2.491818127,NA,8.32E-10,2.74E-09
RPL34P27,1.705085955,-1.671454782,NA,8.39E-10,2.76E-09
RPL34P18,1.560501144,-0.851725847,NA,8.41E-10,2.77E-09
AC004678.2,1.468614642,-2.687721326,NA,8.48E-10,2.79E-09
AC011921.3,2.606437422,-2.992567384,NA,8.53E-10,2.80E-09
SNORD124,1.656573178,-3.103538176,NA,8.55E-10,2.81E-09
LINC00114,1.605573798,0.524531611,NA,8.55E-10,2.81E-09
HS3ST4,4.435258088,-0.245795229,NA,8.58E-10,2.82E-09
AC009533.2,2.112004621,-3.380806419,NA,8.62E-10,2.83E-09
LDHBP2,1.779612888,-2.231270625,NA,8.69E-10,2.85E-09
AL513218.1,1.115382863,-2.384374055,NA,8.71E-10,2.86E-09
ACTN4P1,1.934165217,-0.713771048,NA,8.76E-10,2.88E-09
FAM83A,2.278663873,1.345503154,NA,8.79E-10,2.89E-09
AP003086.2,2.004734674,-3.170106144,NA,8.83E-10,2.90E-09
AC111170.3,1.638128673,-1.20882859,NA,8.84E-10,2.90E-09
SERPINA10,2.879433413,1.67436273,NA,8.90E-10,2.92E-09
AC005307.1,3.26284737,-0.659693378,NA,8.97E-10,2.94E-09
AC011754.1,5.450698202,-1.70113732,NA,9.00E-10,2.95E-09
AC018695.4,1.083097217,-1.461626155,NA,9.15E-10,3.00E-09
AC008264.2,1.621789357,-2.315330032,NA,9.18E-10,3.01E-09
C5orf38,2.892991928,0.861648285,NA,9.25E-10,3.03E-09
AC020658.4,1.438819399,-2.774744548,NA,9.27E-10,3.04E-09
MT-TV,3.78510643,-0.080692278,NA,9.32E-10,3.05E-09
AC092828.1,2.731296418,-0.183269964,NA,9.32E-10,3.05E-09
AC074124.1,3.487341833,-2.654102803,NA,9.33E-10,3.05E-09
AC093788.1,1.180328268,-0.828636646,NA,9.36E-10,3.07E-09
CLCN1,1.653275211,-0.463580589,NA,9.39E-10,3.07E-09
AC105460.2,4.536123816,-2.726472116,NA,9.67E-10,3.16E-09
HGFAC,3.229536832,-1.451429357,NA,9.71E-10,3.18E-09
LINC01749,2.701398036,-2.802521563,NA,9.76E-10,3.19E-09
RPS18P12,1.628384529,1.317895873,NA,9.85E-10,3.22E-09
HIST1H2AM,2.870856778,0.014056304,NA,9.86E-10,3.22E-09
CERS6-AS1,1.240580783,-2.430379012,NA,9.90E-10,3.23E-09
RF00493,2.841402662,-3.470027278,NA,1.01E-09,3.29E-09
AC007998.4,1.605525473,-2.613612555,NA,1.02E-09,3.33E-09
HIST1H4A,3.98635938,-1.463973433,NA,1.02E-09,3.33E-09
RPL18P11,2.139773478,-2.559469773,NA,1.03E-09,3.34E-09
AC006262.2,3.113789881,-3.482724103,NA,1.03E-09,3.35E-09
AC008677.2,1.885474509,-1.629286228,NA,1.04E-09,3.38E-09
DLX5,2.581885782,-0.37841656,NA,1.04E-09,3.40E-09
CD70,1.949177702,1.298867191,NA,1.04E-09,3.40E-09
RNU5F-1,3.864034723,-2.324915431,NA,1.05E-09,3.42E-09
AC005244.1,2.290352118,-2.64307098,NA,1.06E-09,3.44E-09
AC091181.1,2.742349066,-1.345677762,NA,1.06E-09,3.44E-09
AC087343.1,1.311815378,-0.109245254,NA,1.06E-09,3.44E-09
AC114763.1,1.019797705,-1.350749556,NA,1.07E-09,3.48E-09
FEZF2,3.579039119,-3.224420161,NA,1.07E-09,3.49E-09
FGF17,1.713934218,-2.054692442,NA,1.07E-09,3.49E-09
AC026111.1,3.005328021,-2.336995582,NA,1.09E-09,3.55E-09
MAGEA10-MAGEA5,2.153241351,-3.509075725,NA,1.09E-09,3.55E-09
RPL37AP1,1.660657099,0.373933445,NA,1.09E-09,3.56E-09
AL357033.1,1.479282281,-0.139291662,NA,1.10E-09,3.57E-09
ADAM8,1.160071503,4.21164598,NA,1.10E-09,3.57E-09
AC008440.3,2.042860066,-2.424059149,NA,1.10E-09,3.57E-09
AC027808.2,2.390879089,-2.521110518,NA,1.10E-09,3.58E-09
AL359918.1,1.877002143,-1.012785449,NA,1.11E-09,3.60E-09
GJB6,2.808294265,-1.405793198,NA,1.11E-09,3.61E-09
HIST2H2AC,2.240414335,1.012296048,NA,1.12E-09,3.62E-09
AL353747.2,1.931077647,-2.342125665,NA,1.13E-09,3.66E-09
CD55,1.121293277,7.392421312,NA,1.14E-09,3.69E-09
CPB2,4.754138092,-0.280790629,NA,1.14E-09,3.70E-09
AC010273.2,1.858432449,-3.073580575,NA,1.14E-09,3.71E-09
CCDC73,1.025646596,-1.368498584,NA,1.15E-09,3.74E-09
HOXC11,3.836586728,0.651064358,NA,1.16E-09,3.75E-09
GATA4,4.59764331,1.005985526,NA,1.16E-09,3.76E-09
RPL3P9,1.653600697,-1.191004156,NA,1.16E-09,3.78E-09
SEPT14P12,2.254691841,-3.50962755,NA,1.17E-09,3.78E-09
DNAH10,1.291923918,0.786962892,NA,1.17E-09,3.78E-09
MTND3P10,3.347076577,-2.954323633,NA,1.17E-09,3.80E-09
AC093425.1,2.795875061,-1.30549418,NA,1.17E-09,3.80E-09
LBP,3.741620254,2.006019686,NA,1.19E-09,3.85E-09
AL161742.1,2.388460309,-2.374988919,NA,1.19E-09,3.85E-09
DMRT1,4.33239504,-1.822538485,NA,1.19E-09,3.87E-09
AC090505.1,2.245834096,-3.351553714,NA,1.19E-09,3.87E-09
AP003108.5,1.520374373,-1.395166531,NA,1.20E-09,3.87E-09
FOCAD-AS1,1.368173519,-2.695398319,NA,1.20E-09,3.89E-09
AL445189.2,2.046960612,-1.154440075,NA,1.21E-09,3.90E-09
RPL36AP13,1.899472924,-3.057633095,NA,1.21E-09,3.92E-09
AC010280.1,2.247655695,-1.613336656,NA,1.22E-09,3.94E-09
AL161729.2,2.329169298,-2.660168007,NA,1.22E-09,3.96E-09
AC073150.1,1.862476657,-3.52182377,NA,1.25E-09,4.03E-09
UGT2B4,5.47204425,0.446853376,NA,1.26E-09,4.07E-09
PLK5,2.148579102,-1.726536346,NA,1.26E-09,4.07E-09
MAGEA4,6.33046703,-0.324801125,NA,1.27E-09,4.11E-09
AL442128.2,1.225931556,-1.504534885,NA,1.28E-09,4.13E-09
AC008813.1,1.771802702,-2.827081265,NA,1.28E-09,4.14E-09
AC138409.2,1.221852529,0.57952872,NA,1.29E-09,4.15E-09
AC108359.1,4.530927607,-2.932176936,NA,1.30E-09,4.19E-09
AC017002.1,3.21285518,-2.507873862,NA,1.30E-09,4.21E-09
Z92544.1,1.710832277,-3.207776412,NA,1.31E-09,4.22E-09
MIR2052HG,3.328069304,-2.808521069,NA,1.32E-09,4.25E-09
RPL7P33,2.100005235,-3.135135962,NA,1.32E-09,4.25E-09
AC011506.1,1.910707927,-2.020212975,NA,1.34E-09,4.30E-09
MIR6753,1.360805238,-2.824430602,NA,1.34E-09,4.32E-09
RNA5SP221,5.193962249,-2.119300308,NA,1.34E-09,4.33E-09
LINC00885,2.525010659,-2.808219716,NA,1.35E-09,4.34E-09
RPS26P28,1.848244342,-1.474208688,NA,1.35E-09,4.35E-09
OR51E1,1.408908081,1.9327642,NA,1.37E-09,4.42E-09
AANAT,1.4343324,-1.93285391,NA,1.37E-09,4.42E-09
RPS5P3,2.376018402,-2.918271851,NA,1.38E-09,4.43E-09
COLEC10,2.207230742,-1.153648665,NA,1.38E-09,4.43E-09
EPDR1,1.056947827,5.079135831,NA,1.39E-09,4.46E-09
AC020891.3,2.219956253,-3.599876734,NA,1.39E-09,4.48E-09
HNRNPH1P3,2.517356003,-2.992453111,NA,1.40E-09,4.49E-09
AP002981.1,2.028827746,-3.539536689,NA,1.40E-09,4.51E-09
AC010878.1,2.228207136,-2.911712351,NA,1.41E-09,4.53E-09
LINC01558,1.372368895,1.753140784,NA,1.43E-09,4.58E-09
AL138962.1,2.830805876,-3.540489294,NA,1.44E-09,4.61E-09
AC005165.2,2.606425988,-1.665391266,NA,1.44E-09,4.62E-09
MAGEA4-AS1,5.059479653,-2.483628306,NA,1.44E-09,4.63E-09
AC073326.1,2.528993218,-3.045449628,NA,1.45E-09,4.65E-09
RPL29P12,1.290130603,-1.323541685,NA,1.45E-09,4.66E-09
RPS4XP1,1.260933839,-1.601786646,NA,1.48E-09,4.74E-09
KIAA1549L,2.029839933,2.206199615,NA,1.48E-09,4.75E-09
TNFSF4,1.232224645,2.259234898,NA,1.49E-09,4.77E-09
AL080243.2,1.257736056,1.439865873,NA,1.49E-09,4.77E-09
RNVU1-7,4.932201282,-1.398912477,NA,1.50E-09,4.79E-09
ALDH7A1P1,1.688139052,-1.481606524,NA,1.53E-09,4.90E-09
RNU5A-8P,5.189703422,-2.640391165,NA,1.53E-09,4.90E-09
AC092127.1,3.429025271,-1.826714911,NA,1.53E-09,4.91E-09
POU6F2,3.545428316,1.22400048,NA,1.54E-09,4.92E-09
AC254562.2,1.531097184,-3.037749955,NA,1.54E-09,4.93E-09
C1orf147,1.122189306,-1.361771398,NA,1.58E-09,5.04E-09
AC136469.2,2.314784497,-2.941628861,NA,1.59E-09,5.07E-09
BTF3P12,2.314292924,-2.249292516,NA,1.59E-09,5.08E-09
SEC16B,1.127580549,-0.562844626,NA,1.60E-09,5.12E-09
MIR31HG,3.286629393,-1.704681636,NA,1.60E-09,5.12E-09
FSCN1P1,2.644091962,-3.065470555,NA,1.64E-09,5.25E-09
AC002075.2,1.448380462,-0.964339717,NA,1.64E-09,5.25E-09
AC004241.4,1.66910727,-2.580479631,NA,1.65E-09,5.26E-09
FALEC,1.221219097,-2.268172515,NA,1.65E-09,5.28E-09
AP001052.1,1.369128667,-2.520993507,NA,1.66E-09,5.29E-09
LINC02404,4.161426952,-2.948914981,NA,1.66E-09,5.31E-09
C15orf56,1.099041805,-1.633793944,NA,1.67E-09,5.32E-09
AC011472.5,1.312874371,-2.549327268,NA,1.67E-09,5.34E-09
AL732292.2,1.243429397,-2.605848818,NA,1.68E-09,5.36E-09
AL161670.2,2.136617136,-3.466775934,NA,1.69E-09,5.38E-09
LINC00634,1.321512435,-1.936245047,NA,1.70E-09,5.42E-09
AC136475.10,1.219363068,-1.010899447,NA,1.71E-09,5.46E-09
AC009517.1,2.678105497,-3.384505554,NA,1.71E-09,5.46E-09
CELP,2.171007712,2.591951043,NA,1.71E-09,5.46E-09
AC107890.1,2.460768436,-3.341601749,NA,1.72E-09,5.47E-09
LINC01630,3.692384396,-2.46321092,NA,1.72E-09,5.47E-09
BOK-AS1,4.44923761,-0.427086038,NA,1.73E-09,5.52E-09
AC004943.1,1.250634163,-1.210266068,NA,1.73E-09,5.52E-09
AL590617.1,2.629242654,-2.895030732,NA,1.74E-09,5.53E-09
RNY1,7.891537082,2.178593169,NA,1.75E-09,5.57E-09
AC004383.1,1.449270762,-2.900015992,NA,1.75E-09,5.57E-09
PTGES3P4,2.10101018,-2.340631839,NA,1.76E-09,5.61E-09
MORN3,1.590184885,-0.12116751,NA,1.77E-09,5.65E-09
WTAPP1,1.495385971,-1.005608119,NA,1.78E-09,5.67E-09
AC004890.3,1.477008917,-1.917150433,NA,1.78E-09,5.67E-09
PPFIA4,1.242365542,0.706497833,NA,1.80E-09,5.72E-09
USP41,2.089270205,-2.162292071,NA,1.80E-09,5.72E-09
NPM1P30,3.748691713,-2.756704712,NA,1.80E-09,5.72E-09
RN7SL521P,1.471304324,-2.427050215,NA,1.80E-09,5.73E-09
CALHM3,2.692193472,-1.986301841,NA,1.81E-09,5.75E-09
ST8SIA6-AS1,3.644030375,-0.288096374,NA,1.82E-09,5.77E-09
GRP,1.966609574,0.443919785,NA,1.83E-09,5.82E-09
AC008026.2,2.539102004,-2.025575878,NA,1.83E-09,5.83E-09
AL008721.1,2.245463887,-3.083310378,NA,1.84E-09,5.83E-09
AC084262.1,2.432286595,-3.139990895,NA,1.89E-09,6.00E-09
HSPA8P9,1.426946529,-1.530679099,NA,1.92E-09,6.10E-09
AC103591.3,1.663137841,-1.655077948,NA,1.93E-09,6.11E-09
AL445223.1,4.759101844,-2.604036725,NA,1.94E-09,6.15E-09
LRRC37A11P,4.665997647,0.803789173,NA,1.95E-09,6.17E-09
AL353583.1,3.369807845,-1.335522064,NA,1.95E-09,6.19E-09
RPA4,1.48250451,-2.065206837,NA,1.95E-09,6.19E-09
WBP11P1,1.768893112,-2.931541763,NA,1.96E-09,6.20E-09
AL138760.1,2.03699763,-3.107503652,NA,1.96E-09,6.20E-09
RPL23AP43,1.278522181,-1.870198557,NA,1.96E-09,6.22E-09
RPL7AP34,1.708237103,-1.691149363,NA,1.97E-09,6.26E-09
SRD5A2,3.493460078,-2.221998849,NA,1.99E-09,6.29E-09
MSL3P1,1.047421761,-0.598757763,NA,2.00E-09,6.33E-09
AL139100.1,1.678901917,0.82678236,NA,2.00E-09,6.33E-09
RMRP,6.399999962,-0.999118548,NA,2.01E-09,6.38E-09
DBF4P1,1.05140716,-1.949764579,NA,2.03E-09,6.43E-09
LINC00552,2.210685896,-2.700762028,NA,2.03E-09,6.43E-09
LINC01968,1.603254083,-3.273032105,NA,2.04E-09,6.45E-09
SHOX2,1.937427322,-0.630462772,NA,2.04E-09,6.45E-09
AKR1C7P,1.451415897,-2.473088887,NA,2.05E-09,6.49E-09
HCAR2,2.226673693,1.234728424,NA,2.12E-09,6.71E-09
CHRNG,1.85430568,-2.228598295,NA,2.14E-09,6.75E-09
RPS4XP13,1.433832635,-1.253674423,NA,2.14E-09,6.77E-09
AC009996.1,1.420670704,-1.814632266,NA,2.14E-09,6.77E-09
AC104791.2,2.320409263,-2.372550226,NA,2.15E-09,6.78E-09
BUD31P2,2.170956841,-3.639933073,NA,2.15E-09,6.79E-09
AC036222.1,2.873669233,-3.589609509,NA,2.17E-09,6.84E-09
AL591806.1,2.403039038,-3.238192564,NA,2.17E-09,6.85E-09
LYG1,1.13783776,-0.271832159,NA,2.18E-09,6.87E-09
TFF2,3.083397092,3.853959254,NA,2.18E-09,6.87E-09
RNA5SP355,8.519072327,0.184054162,NA,2.20E-09,6.95E-09
AC018552.3,2.877783576,-3.006122202,NA,2.20E-09,6.95E-09
CRYZL2P-SEC16B,1.169004547,0.711958078,NA,2.22E-09,7.00E-09
SBSPON,1.889748098,3.896680512,NA,2.23E-09,7.03E-09
NCBP2-AS1,1.142965269,-1.610749401,NA,2.25E-09,7.09E-09
REN,2.409653317,1.400371651,NA,2.26E-09,7.11E-09
RAET1G,1.189056393,-0.972957492,NA,2.26E-09,7.11E-09
RNF113B,3.614625511,-3.24585382,NA,2.26E-09,7.13E-09
AC022210.1,1.013878151,-0.677365738,NA,2.27E-09,7.14E-09
RNU4-25P,3.428708305,-3.322157281,NA,2.28E-09,7.18E-09
AC010328.2,2.029283323,-2.799662753,NA,2.28E-09,7.18E-09
AC020558.2,1.005040017,-0.893497487,NA,2.30E-09,7.25E-09
AL353747.1,2.960564205,-3.314926892,NA,2.31E-09,7.27E-09
ELOBP2,1.944276578,-2.118568539,NA,2.32E-09,7.30E-09
PKD1L3,1.746185991,-1.11585392,NA,2.35E-09,7.38E-09
AC097347.1,1.971163473,-2.816092997,NA,2.35E-09,7.39E-09
AC073592.3,2.55190576,-2.873830083,NA,2.37E-09,7.44E-09
RPS4XP20,1.874171138,-3.019229223,NA,2.37E-09,7.45E-09
LINC02042,5.034907448,-2.171087562,NA,2.39E-09,7.50E-09
SNORA80A,4.756530969,-2.492954216,NA,2.40E-09,7.54E-09
FMO3,1.527328877,0.679486747,NA,2.40E-09,7.55E-09
ICAM5,1.460247833,-0.261219551,NA,2.42E-09,7.59E-09
IGHG1,2.021607963,10.34369471,NA,2.46E-09,7.71E-09
TGM1,1.200738066,0.044849056,NA,2.48E-09,7.79E-09
BTBD10P2,1.778383384,-2.86482821,NA,2.50E-09,7.83E-09
UBQLN4P1,1.039673606,-1.604852982,NA,2.50E-09,7.85E-09
AL359976.1,2.695426175,-3.170769172,NA,2.52E-09,7.89E-09
DGCR5,1.829696454,-0.771547919,NA,2.52E-09,7.90E-09
KRT74,3.482874162,-3.266480051,NA,2.53E-09,7.93E-09
LINC01564,2.130625873,-2.310532744,NA,2.54E-09,7.96E-09
TTC29,5.157465801,-0.449340925,NA,2.54E-09,7.97E-09
AC006122.1,1.526054829,-1.964451047,NA,2.59E-09,8.11E-09
FGG,8.498528916,4.779303678,NA,2.61E-09,8.17E-09
RPL3P2,1.413099875,1.333837049,NA,2.61E-09,8.17E-09
RGS20,1.916829177,-1.836246009,NA,2.63E-09,8.24E-09
AC233280.1,1.207260065,-2.175280306,NA,2.64E-09,8.26E-09
AC091868.2,2.963141372,-3.559601366,NA,2.64E-09,8.28E-09
RPS7P15,2.522404332,-2.562430584,NA,2.65E-09,8.29E-09
AC006330.1,1.43450057,-1.15537377,NA,2.66E-09,8.31E-09
UGT1A6,1.813305205,0.625977075,NA,2.66E-09,8.31E-09
SNORA11,2.067820507,-2.359008472,NA,2.66E-09,8.32E-09
AC019129.1,2.056935209,-3.109542769,NA,2.66E-09,8.33E-09
MUC19,3.160617132,-2.983979307,NA,2.68E-09,8.39E-09
AL807761.3,3.536472103,-2.867367782,NA,2.70E-09,8.43E-09
LHX1,3.797045762,-2.730982398,NA,2.71E-09,8.47E-09
SAGE1,4.721754462,-2.610476688,NA,2.73E-09,8.52E-09
AC026310.2,2.684210853,-3.365680213,NA,2.75E-09,8.59E-09
H2AFVP1,1.174083575,-1.141452381,NA,2.78E-09,8.69E-09
AC141586.5,1.516561981,-1.661310178,NA,2.82E-09,8.82E-09
AC009171.2,1.17136963,-2.356702895,NA,2.84E-09,8.87E-09
EIF4A1P10,1.22035538,0.559690851,NA,2.84E-09,8.87E-09
AP001207.3,2.018770348,-2.970199309,NA,2.85E-09,8.89E-09
AL121761.2,2.177700688,0.608053087,NA,2.88E-09,8.97E-09
Z83843.1,1.646654635,2.819123977,NA,2.89E-09,9.01E-09
SKP1P1,1.007844693,-0.522637388,NA,2.90E-09,9.03E-09
PLA2G16,1.10525098,5.2402951,NA,2.90E-09,9.04E-09
PRELID3BP10,2.052460543,-3.426140426,NA,2.92E-09,9.11E-09
SNORA28,3.125533542,-2.262238488,NA,2.92E-09,9.11E-09
PPIHP1,1.988550387,-2.649938976,NA,2.93E-09,9.14E-09
SGIP1,1.058219241,1.885592264,NA,2.94E-09,9.17E-09
MIR324,1.839294819,-2.667510124,NA,2.97E-09,9.25E-09
AC107308.1,2.313137273,-3.214248775,NA,2.97E-09,9.26E-09
PLS3-AS1,1.474411295,-2.16378998,NA,2.98E-09,9.27E-09
SF3A3P1,2.268862343,-2.53412581,NA,3.03E-09,9.42E-09
LINC00958,2.46046147,-1.360488879,NA,3.07E-09,9.56E-09
NFE2,1.834285206,0.478542792,NA,3.08E-09,9.57E-09
AL592211.1,1.255259207,-2.374125586,NA,3.09E-09,9.60E-09
RNA5SP202,7.71899649,0.039953944,NA,3.09E-09,9.63E-09
SUGT1P2,1.74993034,-2.468323181,NA,3.11E-09,9.69E-09
LINC00626,3.688143071,-3.175597038,NA,3.15E-09,9.79E-09
RNA5SP183,4.838029409,-2.923763756,NA,3.16E-09,9.84E-09
RNA5SP145,5.25980668,-2.602807551,NA,3.18E-09,9.88E-09
RNU1-67P,3.686871123,-1.414245699,NA,3.19E-09,9.91E-09
MKRN5P,2.153532384,-2.31830375,NA,3.19E-09,9.92E-09
KARSP1,3.824774611,-3.077580282,NA,3.23E-09,1.00E-08
RPL5P22,1.767319821,-1.829935552,NA,3.25E-09,1.01E-08
HIST2H3D,2.572455014,-2.039327071,NA,3.27E-09,1.01E-08
AL807757.2,2.34485013,-2.556177232,NA,3.27E-09,1.02E-08
MTND4LP14,3.412323065,-3.364098673,NA,3.31E-09,1.03E-08
AC106875.1,3.470117431,-3.315536235,NA,3.40E-09,1.05E-08
AP001412.1,1.046014111,-2.019664648,NA,3.40E-09,1.06E-08
AC004551.1,1.842898111,-3.179071353,NA,3.41E-09,1.06E-08
AL611929.1,3.116417913,-3.316579007,NA,3.42E-09,1.06E-08
LRRC73,1.239928324,0.337721015,NA,3.42E-09,1.06E-08
PHBP19,1.599599483,-2.200673465,NA,3.42E-09,1.06E-08
AC087289.3,1.408994275,-3.078391028,NA,3.43E-09,1.06E-08
AC037487.4,1.724866147,-3.293998398,NA,3.46E-09,1.07E-08
LHX3,3.880127711,-2.812564905,NA,3.46E-09,1.07E-08
AC012494.1,3.741371802,-3.295606227,NA,3.47E-09,1.07E-08
Z95327.1,1.970564303,-3.240360262,NA,3.48E-09,1.08E-08
SLC22A31,2.816260802,0.926090632,NA,3.49E-09,1.08E-08
TCP1P1,1.572621725,-1.970665174,NA,3.52E-09,1.09E-08
ACTBL2,2.902855819,-2.764682401,NA,3.53E-09,1.09E-08
RPL8P2,1.595051552,-2.678897562,NA,3.55E-09,1.10E-08
BRD7P4,2.522629628,-2.313245966,NA,3.59E-09,1.11E-08
E2F6P4,3.305500898,-3.188391033,NA,3.60E-09,1.11E-08
AL110115.1,2.287741611,-2.866258291,NA,3.63E-09,1.12E-08
RPS2P4,1.292517472,-1.420783523,NA,3.65E-09,1.13E-08
RN7SL838P,2.900666092,-2.818499143,NA,3.67E-09,1.13E-08
GAPDHP69,1.823822049,-2.025528134,NA,3.68E-09,1.14E-08
HNRNPLP1,1.837491069,-2.337582774,NA,3.70E-09,1.14E-08
TEX41,2.159753737,-1.448289159,NA,3.71E-09,1.15E-08
LRRC10B,1.379003054,1.612063215,NA,3.72E-09,1.15E-08
FTX,1.663112338,2.023006163,NA,3.78E-09,1.17E-08
AC004704.1,2.776286598,-3.579841535,NA,3.82E-09,1.18E-08
RNU2-59P,5.821617298,-2.160955938,NA,3.82E-09,1.18E-08
AL391058.1,1.196156827,-0.727017451,NA,3.85E-09,1.19E-08
AC008667.1,2.047325622,-3.183866583,NA,3.87E-09,1.19E-08
TMPRSS11E,4.496252424,-0.033531146,NA,3.92E-09,1.21E-08
AC005921.3,2.864689257,-1.48435216,NA,3.93E-09,1.21E-08
ZNF117,1.022779231,3.680784681,NA,3.96E-09,1.22E-08
AC012213.2,1.980460164,-2.990028975,NA,3.98E-09,1.22E-08
AC109326.1,1.318027102,-1.279525465,NA,3.98E-09,1.23E-08
AC135050.4,1.449701816,-3.108187858,NA,4.01E-09,1.24E-08
AL357515.1,1.977409866,-2.78965204,NA,4.02E-09,1.24E-08
AC000061.1,1.919993618,-1.853233976,NA,4.03E-09,1.24E-08
FBXW12,1.493532547,-2.414775529,NA,4.03E-09,1.24E-08
BTF3L4P1,2.293283555,-2.808134483,NA,4.04E-09,1.24E-08
LINC01719,1.030155881,-0.762191141,NA,4.06E-09,1.25E-08
AC104791.1,2.117521001,-3.065431598,NA,4.09E-09,1.26E-08
AC105118.1,2.6063113,-3.594697703,NA,4.10E-09,1.26E-08
AC098613.1,1.041697946,0.503590055,NA,4.16E-09,1.28E-08
AC073210.1,1.434258334,-3.001293041,NA,4.17E-09,1.28E-08
TUBB8P1,1.638517354,-2.573589724,NA,4.17E-09,1.28E-08
AC007216.2,1.539545006,-2.62684013,NA,4.21E-09,1.29E-08
EIF4A1P9,1.989528485,-3.37596112,NA,4.23E-09,1.30E-08
ANKRD1,2.501965574,-2.038694056,NA,4.30E-09,1.32E-08
AC116407.2,1.09706552,-0.631356604,NA,4.31E-09,1.32E-08
ATP5MFP5,1.605108004,-2.45793999,NA,4.34E-09,1.33E-08
ACP4,1.313862039,-2.519723267,NA,4.36E-09,1.34E-08
PRRX1,1.380738525,4.303148666,NA,4.40E-09,1.35E-08
