"","logFC","logCPM","PValue","FDR"
"ZNF367",1.02441722772877,3.88335743427921,5.69568732690095e-21,4.31209800428425e-20
"PAEP",8.88263120504643,2.65175759325415,5.86398069840446e-21,4.43738304681897e-20
"ODC1",1.02128523348025,7.93118531596135,5.95994723614697e-21,4.50784326146974e-20
"ATAD5",1.176569968368,3.31077389293298,5.98561370778689e-21,4.52400703038544e-20
"AC006111.2",1.63316894508782,-1.06777331219406,6.14866422840608e-21,4.64390984862618e-20
"KIAA0895",1.3739738921139,2.79146894458842,6.26400849353069e-21,4.72763545953452e-20
"ATP5MC1P4",1.9301384739252,-1.05021033019131,6.46487749757654e-21,4.87457935038032e-20
"AC090116.1",4.10663153949696,-1.23242206900189,6.70386155589641e-21,5.04875084947402e-20
"LTB4R",1.51021740082437,2.9666310245264,6.76134899783747e-21,5.09083171803335e-20
"TPSP2",5.15147631169132,-1.82084256957039,6.77729103883201e-21,5.10161915153251e-20
"PRMT1",1.24819321235394,7.70059915579562,7.05811026013135e-21,5.30921136781738e-20
"POLR3G",1.49089142007227,2.49886838081395,7.33567656374127e-21,5.51406209084649e-20
"ZNF316",1.02603919755834,5.50359270960425,7.39830187456394e-21,5.55981329978826e-20
"AC010967.1",4.1077984486258,-3.02548820815985,7.71189132200343e-21,5.78996631502031e-20
"RNF139-AS1",1.33837276979434,1.14195838479407,8.22026112852741e-21,6.15847070983084e-20
"ONECUT2",2.66297612702554,2.41810943342404,8.28448001927691e-21,6.2051108878382e-20
"CHAC1",1.69136935357389,3.34150682210432,8.34073152108668e-21,6.24576276240084e-20
"ELF5",7.17436801130944,1.78477110940366,8.42155286640847e-21,6.30180293009102e-20
"AL138785.1",4.68007038988517,1.65570150440813,8.53222086721506e-21,6.38310333549433e-20
"GALK1",1.36073863085398,4.98057644684477,8.77015508188111e-21,6.55800022489633e-20
"PPBP",8.7696146702955,5.71395938366956,9.38055875785821e-21,7.00118102615201e-20
"PLCG1",1.04767662122083,6.53037276737227,9.44523609773503e-21,7.04612382610963e-20
"AC007405.3",1.84273630831645,1.03885180429856,9.68322572463049e-21,7.22025372476401e-20
"LCN12",2.1612579337933,2.2247627484061,9.87989656420852e-21,7.36342467924133e-20
"UBE2SP1",1.90089952437558,0.0427230250362042,9.9303622016385e-21,7.39929087349918e-20
"AC098591.2",3.98751285674542,-0.293592966397608,1.01397213213157e-20,7.54283531208684e-20
"UNC93A",3.8468530437542,2.2004331118318,1.08181514355754e-20,8.03615937700759e-20
"PRMT5-AS1",1.53112838526051,-1.05857136432951,1.10557351432504e-20,8.21071557077365e-20
"TACC3",1.03641825180982,6.09071035039894,1.11846649620857e-20,8.30451516209575e-20
"DTD1",1.0794492052155,5.48066978278428,1.23751291333698e-20,9.17118120362544e-20
"SLC2A1",1.7787170625177,8.17170978989976,1.26629537501753e-20,9.38228653445796e-20
"CENPJ",1.09445062432508,4.1394631496735,1.28421144418708e-20,9.51280003662426e-20
"AC103706.1",2.25553152811364,-0.852017594082494,1.34327733105902e-20,9.94100743034615e-20
"CXCL8",3.58241522314508,6.95750381982905,1.34860607143028e-20,9.97810576456598e-20
"SRMS",2.1985318873285,2.72974422193614,1.36358494907859e-20,1.00841222515635e-19
"AC005264.1",2.87331434611279,-2.841241676297,1.41753837804191e-20,1.04758573046732e-19
"SNORA73B",6.75789714621447,4.41867174664689,1.52360451290612e-20,1.12491791017161e-19
"PARPBP",1.22974945384634,4.00573825032403,1.60790927750944e-20,1.18633063531891e-19
"MINCR",1.37852846218474,2.46941372554038,1.63168683283797e-20,1.20303108774446e-19
"LINC01655",4.35400054519121,-2.96487219084572,1.67702667577723e-20,1.23530668612334e-19
"NSDHL",1.03582046532886,5.51468852235367,1.76605774618803e-20,1.29937266826545e-19
"KYAT1",1.09011806212178,2.39403515535987,1.76790594825434e-20,1.30042963034224e-19
"AC092573.2",2.4161169201815,-1.6937686656067,1.77840406210636e-20,1.30754292609091e-19
"XPO4",1.03315823856608,5.66274067794864,1.80222092001473e-20,1.32458042930828e-19
"SLC35E4",1.47895373257884,4.46931152360302,1.80241549254464e-20,1.32458042930828e-19
"CCNI2",1.30336495706222,3.99522402797137,1.83729379424729e-20,1.3489570727784e-19
