"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PMAIP1",2.19584952159056,7.3235605373375,7.54551015961227,5.38012001378649e-07,1.32169753372132e-05,6.35925208742276
"NUP35",1.32294535739995,9.04378649558798,7.53950112819046,5.44022482359931e-07,1.33235873947375e-05,6.34811658153168
"EBPL",1.62582838555737,11.0829069974631,7.51506892887963,5.6918842938074e-07,1.36675810117028e-05,6.30278840088764
"SS18L1",1.01846424053128,8.07048783765393,7.51083978742557,5.73665964556067e-07,1.3728664470876e-05,6.29493372119205
"TTI1",1.37623156564519,7.35255200517538,7.50464298140251,5.80292942868121e-07,1.38337385559832e-05,6.28342001257981
"FAM210B",1.68521946343153,8.82057444218162,7.48534264064571,6.01447484769432e-07,1.41953943638945e-05,6.24752530518254
"SETD6",1.15888632045144,7.27162733025041,7.48438860272545,6.02513735307572e-07,1.41953943638945e-05,6.24574963231587
"LY6G6D",3.62838925724882,7.60742013654454,7.48282144347512,6.04269486383438e-07,1.42041609880185e-05,6.24283252941802
"LRRC6",1.16871234405072,5.97455538051986,7.48228451714569,6.04872248280801e-07,1.42041609880185e-05,6.24183301795056
"PCMTD2",1.15441571197396,6.42903057773979,7.48075466702334,6.06593110024219e-07,1.42288839762179e-05,6.23898491414464
"PLAU",1.38643713369004,6.35089660981924,7.47662234019869,6.11266857311859e-07,1.42829511864093e-05,6.23129016774047
"TBC1D24",1.05590083786238,6.46551435449543,7.4735761519182,6.14736104193607e-07,1.43376068790765e-05,6.22561636911716
"SOX9",2.03962669624692,8.18464186488183,7.45635780560436,6.34734106817798e-07,1.46043224164893e-05,6.19352115818784
"ASPM",1.52090746668859,6.28537990512241,7.45287400992036,6.38861864393658e-07,1.46536149085345e-05,6.18702225576901
"ZNF280C",1.50749168130202,4.58421408505644,7.45097118342585,6.41128184350633e-07,1.46706364683403e-05,6.18347187789004
"MMP1",3.13591199536598,7.60445787944662,7.44902067454421,6.43459965215573e-07,1.46892323677669e-05,6.1798320043241
"GAS5",1.12155083987583,8.26814929435688,7.42821187724563,6.68891719580138e-07,1.50918694230269e-05,6.14096714074481
"GALNT6",1.6413911437317,6.54113705210677,7.42619989215829,6.7140543849081e-07,1.51076456795019e-05,6.13720610524872
"PPT1",1.36711552232902,9.64908019978315,7.41355702720699,6.87427282461774e-07,1.53636030316404e-05,6.11355958528352
"KIF18A",1.5387938367163,5.42010902788445,7.40500098721386,6.98494942150567e-07,1.55619704737081e-05,6.09754409877407
"EIF2A",1.06684535683361,10.3059720651336,7.39179505374172,7.15942112068403e-07,1.58511965124167e-05,6.0728045975106
"NAP1L1",1.43897246707585,9.6133380566327,7.38979639316087,7.18621840865266e-07,1.58840948192524e-05,6.06905824704682
"CTPS2",1.17263847233638,7.83635928432678,7.36126821458164,7.58027495924031e-07,1.65253749966001e-05,6.01552298300975
"POLA1",1.36627654332477,7.49374373182915,7.35570728945298,7.6596657016116e-07,1.6613362502915e-05,6.00507417410364
"PAFAH1B3",1.22246595467687,8.59514531751874,7.35303153776301,7.69817337364344e-07,1.66460299172824e-05,6.00004496999867
"UBE2C",1.8914618762917,9.5464080842097,7.32343437960707,8.13777488270675e-07,1.73848011260553e-05,5.94434858783752
"ENPP5",1.15579302870853,4.78898458365647,7.30360587996266,8.44679898709899e-07,1.78967016000964e-05,5.90696617325129
"RHNO1",1.07023594319472,6.44141180216069,7.30353242877652,8.44796609214364e-07,1.78967016000964e-05,5.90682759399648
"SP5",1.80960432403016,7.9786662023085,7.29844507116338,8.52921057893163e-07,1.80043266720183e-05,5.89722750830833
"PLEKHG4",1.11870942941901,7.31290838873761,7.27418997213683,8.92786450656763e-07,1.8552642987629e-05,5.85140699565834
"DIS3",1.04157971008594,5.66486536178255,7.2733681135123,8.94170650944358e-07,1.8552642987629e-05,5.84985296810516
"PROX1",1.31871081577373,5.76993394790266,7.27067095295318,8.98728967017254e-07,1.85844934645636e-05,5.8447523224185
"DPY19L4",1.16604319268121,7.54094001876096,7.26787055598629,9.03487287818915e-07,1.86466819217588e-05,5.83945536344322
"FIGNL1",1.17769555131455,6.49213410602794,7.26300446577801,9.11817851061014e-07,1.88003953627769e-05,5.83024851987242
"TMEM123",1.13177842201622,11.5786216077182,7.25965929740895,9.17590867046769e-07,1.88646408081362e-05,5.82391739428764
"NAT10",1.05017546275201,9.00258190418245,7.25662687244757,9.22856943328544e-07,1.89147735624577e-05,5.8181768144084
"URB2",1.13167865825685,7.8723174066716,7.24397729331711,9.45164714151775e-07,1.92457583620637e-05,5.79421639985533
"AMZ2",1.29012674851994,9.04036755441521,7.24034018301106,9.51681886266723e-07,1.93599546280754e-05,5.78732294647887
"TIGD1",1.32219932221605,6.031758285373,7.23109597641795,9.68456934288245e-07,1.96262266825931e-05,5.76979394421511
"PSMG1",1.40116257311086,9.6325592810821,7.22849995089204,9.73222805678912e-07,1.96853490390837e-05,5.76486916397503
"BMP4",2.14741477388648,7.91737622560881,7.20739862812652,1.01287595806953e-06,2.04098817700311e-05,5.72480387860294
"AHCY",1.54646466316542,10.4385441185546,7.2065111549044,1.01457997143807e-06,2.04248949070506e-05,5.72311745487323
"SNHG15",1.08210598269304,7.67471779733811,7.16605159496692,1.09551144426693e-06,2.15838042826361e-05,5.64611666003537
"MRPS17",1.1427012114232,8.71848101069351,7.16083656479146,1.10642014849682e-06,2.17595962537708e-05,5.63617494059879
"RCN1",1.31926020436713,10.0504369262156,7.14596651499221,1.13814820463545e-06,2.21382818361008e-05,5.60780634103558
"TGFBI",2.86860980164865,10.5093750293158,7.13541948485979,1.16122339498619e-06,2.24436452720607e-05,5.58766626020278
"PODXL",1.46669225390779,8.0748259206038,7.13159620389516,1.16970750923511e-06,2.25477945395019e-05,5.58036166223241
"PIBF1",1.56578038372252,6.00029401576091,7.11849124167634,1.19927949232505e-06,2.29574742046666e-05,5.55530832796248
"INHBA",1.92034161197208,5.14180120494699,7.11518163589374,1.20686973425901e-06,2.30332602777622e-05,5.5489774009711
"TMEM97",1.3179283410495,8.8184738795846,7.11457318273876,1.20827057328845e-06,2.30393508867241e-05,5.54781332715341
"ZNF573",1.08217576539975,5.44927873010383,7.10989428916404,1.21909928240892e-06,2.32042856264769e-05,5.53886007858699
"JPX",1.05688446843055,4.80855994103324,7.10805235041959,1.22338978856412e-06,2.32651599166315e-05,5.53533461404068
"RAB15",1.29042825099,8.58482032270197,7.09504319150307,1.2541420195051e-06,2.37018375097064e-05,5.51042159143251
